"400N1_1#008"
""
"Potential (V)";"Current (uA)"
"0.10000";"2.24875"
"0.09800";"1.65417"
"0.09600";"1.14042"
"0.09400";"0.72083"
"0.09200";"0.36542"
"0.09000";"0.06792"
"0.08800";"-0.19167"
"0.08600";"-0.42333"
"0.08400";"-0.63833"
"0.08200";"-0.82458"
"0.08000";"-0.97583"
"0.07800";"-1.11250"
"0.07600";"-1.22875"
"0.07400";"-1.33792"
"0.07200";"-1.43042"
"0.07000";"-1.50875"
"0.06800";"-1.57667"
"0.06600";"-1.63208"
"0.06400";"-1.68375"
"0.06200";"-1.72667"
"0.06000";"-1.75500"
"0.05800";"-1.77875"
"0.05600";"-1.79750"
"0.05400";"-1.81542"
"0.05200";"-1.82583"
"0.05000";"-1.82500"
"0.04800";"-1.82542"
"0.04600";"-1.82167"
"0.04400";"-1.82125"
"0.04200";"-1.81875"
"0.04000";"-1.80625"
"0.03800";"-1.79375"
"0.03600";"-1.77708"
"0.03400";"-1.76792"
"0.03200";"-1.75167"
"0.03000";"-1.73375"
"0.02800";"-1.71375"
"0.02600";"-1.69542"
"0.02400";"-1.67875"
"0.02200";"-1.65958"
"0.02000";"-1.63958"
"0.01800";"-1.61875"
"0.01600";"-1.59792"
"0.01400";"-1.57833"
"0.01200";"-1.55792"
"0.01000";"-1.53667"
"0.00800";"-1.51458"
"0.00600";"-1.49458"
"0.00400";"-1.47708"
"0.00200";"-1.46167"
"0.00000";"-1.44250"
"-0.00200";"-1.42417"
"-0.00400";"-1.40375"
"-0.00600";"-1.38750"
"-0.00800";"-1.36708"
"-0.01000";"-1.35083"
"-0.01200";"-1.33250"
"-0.01400";"-1.31750"
"-0.01600";"-1.30125"
"-0.01800";"-1.28375"
"-0.02000";"-1.26833"
"-0.02200";"-1.25208"
"-0.02400";"-1.23875"
"-0.02600";"-1.22417"
"-0.02800";"-1.20792"
"-0.03000";"-1.19208"
"-0.03200";"-1.17833"
"-0.03400";"-1.16708"
"-0.03600";"-1.15542"
"-0.03800";"-1.14167"
"-0.04000";"-1.12708"
"-0.04200";"-1.11375"
"-0.04400";"-1.10375"
"-0.04600";"-1.09417"
"-0.04800";"-1.08208"
"-0.05000";"-1.07125"
"-0.05200";"-1.06083"
"-0.05400";"-1.05208"
"-0.05600";"-1.04250"
"-0.05800";"-1.03042"
"-0.06000";"-1.02125"
"-0.06200";"-1.01167"
"-0.06400";"-1.00583"
"-0.06600";"-0.99792"
"-0.06800";"-0.98750"
"-0.07000";"-0.98042"
"-0.07200";"-0.97417"
"-0.07400";"-0.96875"
"-0.07600";"-0.96042"
"-0.07800";"-0.95125"
"-0.08000";"-0.94500"
"-0.08200";"-0.93833"
"-0.08400";"-0.93208"
"-0.08600";"-0.92708"
"-0.08800";"-0.92083"
"-0.09000";"-0.91625"
"-0.09200";"-0.91083"
"-0.09400";"-0.90708"
"-0.09600";"-0.90167"
"-0.09800";"-0.89417"
"-0.10000";"-0.89042"
"-0.10200";"-0.88750"
"-0.10400";"-0.88417"
"-0.10600";"-0.87833"
"-0.10800";"-0.87333"
"-0.11000";"-0.87083"
"-0.11200";"-0.86667"
"-0.11400";"-0.86333"
"-0.11600";"-0.86000"
"-0.11800";"-0.85708"
"-0.12000";"-0.85500"
"-0.12200";"-0.85208"
"-0.12400";"-0.85125"
"-0.12600";"-0.84625"
"-0.12800";"-0.84375"
"-0.13000";"-0.84250"
"-0.13200";"-0.84333"
"-0.13400";"-0.84292"
"-0.13600";"-0.83792"
"-0.13800";"-0.83792"
"-0.14000";"-0.83542"
"-0.14200";"-0.83708"
"-0.14400";"-0.83583"
"-0.14600";"-0.83375"
"-0.14800";"-0.83125"
"-0.15000";"-0.82917"
"-0.15200";"-0.83042"
"-0.15400";"-0.83208"
"-0.15600";"-0.83000"
"-0.15800";"-0.82875"
"-0.16000";"-0.82875"
"-0.16200";"-0.83042"
"-0.16400";"-0.83250"
"-0.16600";"-0.83000"
"-0.16800";"-0.83125"
"-0.17000";"-0.83000"
"-0.17200";"-0.83250"
"-0.17400";"-0.83208"
"-0.17600";"-0.83167"
"-0.17800";"-0.83125"
"-0.18000";"-0.83250"
"-0.18200";"-0.83250"
"-0.18400";"-0.83417"
"-0.18600";"-0.83292"
"-0.18800";"-0.83458"
"-0.19000";"-0.83375"
"-0.19200";"-0.83458"
"-0.19400";"-0.83500"
"-0.19600";"-0.83458"
"-0.19800";"-0.83583"
"-0.20000";"-0.83667"
"-0.20200";"-0.84042"
"-0.20400";"-0.84375"
"-0.20600";"-0.84500"
"-0.20800";"-0.84708"
"-0.21000";"-0.84708"
"-0.21200";"-0.85167"
"-0.21400";"-0.85417"
"-0.21600";"-0.85583"
"-0.21800";"-0.85792"
"-0.22000";"-0.85958"
"-0.22200";"-0.86500"
"-0.22400";"-0.86917"
"-0.22600";"-0.87125"
"-0.22800";"-0.87375"
"-0.23000";"-0.87625"
"-0.23200";"-0.88000"
"-0.23400";"-0.88417"
"-0.23600";"-0.88542"
"-0.23800";"-0.89083"
"-0.24000";"-0.89167"
"-0.24200";"-0.89667"
