"400N1_1#005"
""
"Potential (V)";"Current (uA)"
"0.10000";"0.54112"
"0.09800";"0.40525"
"0.09600";"0.28108"
"0.09400";"0.17312"
"0.09200";"0.07871"
"0.09000";"-0.00121"
"0.08800";"-0.07167"
"0.08600";"-0.13404"
"0.08400";"-0.19229"
"0.08200";"-0.24346"
"0.08000";"-0.28587"
"0.07800";"-0.32346"
"0.07600";"-0.35600"
"0.07400";"-0.38667"
"0.07200";"-0.41242"
"0.07000";"-0.43362"
"0.06800";"-0.45121"
"0.06600";"-0.46646"
"0.06400";"-0.48067"
"0.06200";"-0.49237"
"0.06000";"-0.50021"
"0.05800";"-0.50679"
"0.05600";"-0.51075"
"0.05400";"-0.51442"
"0.05200";"-0.51554"
"0.05000";"-0.51533"
"0.04800";"-0.51383"
"0.04600";"-0.51125"
"0.04400";"-0.50837"
"0.04200";"-0.50483"
"0.04000";"-0.50008"
"0.03800";"-0.49538"
"0.03600";"-0.48992"
"0.03400";"-0.48408"
"0.03200";"-0.47763"
"0.03000";"-0.47033"
"0.02800";"-0.46342"
"0.02600";"-0.45613"
"0.02400";"-0.44908"
"0.02200";"-0.44208"
"0.02000";"-0.43413"
"0.01800";"-0.42625"
"0.01600";"-0.41825"
"0.01400";"-0.41129"
"0.01200";"-0.40392"
"0.01000";"-0.39600"
"0.00800";"-0.38825"
"0.00600";"-0.38100"
"0.00400";"-0.37429"
"0.00200";"-0.36754"
"0.00000";"-0.36104"
"-0.00200";"-0.35425"
"-0.00400";"-0.34721"
"-0.00600";"-0.34033"
"-0.00800";"-0.33346"
"-0.01000";"-0.32717"
"-0.01200";"-0.32096"
"-0.01400";"-0.31500"
"-0.01600";"-0.31021"
"-0.01800";"-0.30475"
"-0.02000";"-0.29929"
"-0.02200";"-0.29271"
"-0.02400";"-0.28704"
"-0.02600";"-0.28200"
"-0.02800";"-0.27679"
"-0.03000";"-0.27158"
"-0.03200";"-0.26654"
"-0.03400";"-0.26212"
"-0.03600";"-0.25767"
"-0.03800";"-0.25300"
"-0.04000";"-0.24850"
"-0.04200";"-0.24446"
"-0.04400";"-0.24079"
"-0.04600";"-0.23712"
"-0.04800";"-0.23296"
"-0.05000";"-0.22904"
"-0.05200";"-0.22521"
"-0.05400";"-0.22183"
"-0.05600";"-0.21829"
"-0.05800";"-0.21479"
"-0.06000";"-0.21167"
"-0.06200";"-0.20879"
"-0.06400";"-0.20596"
"-0.06600";"-0.20308"
"-0.06800";"-0.19971"
"-0.07000";"-0.19721"
"-0.07200";"-0.19417"
"-0.07400";"-0.19200"
"-0.07600";"-0.18933"
"-0.07800";"-0.18696"
"-0.08000";"-0.18450"
"-0.08200";"-0.18221"
"-0.08400";"-0.18050"
"-0.08600";"-0.17879"
"-0.08800";"-0.17717"
"-0.09000";"-0.17646"
"-0.09200";"-0.17642"
"-0.09400";"-0.17900"
"-0.09600";"-0.18475"
"-0.09800";"-0.19321"
"-0.10000";"-0.20321"
"-0.10200";"-0.21317"
"-0.10400";"-0.22317"
"-0.10600";"-0.23038"
"-0.10800";"-0.23550"
"-0.11000";"-0.24371"
"-0.11200";"-0.25646"
"-0.11400";"-0.27062"
"-0.11600";"-0.27700"
"-0.11800";"-0.28179"
"-0.12000";"-0.29029"
"-0.12200";"-0.30629"
"-0.12400";"-0.32550"
"-0.12600";"-0.34163"
"-0.12800";"-0.35987"
"-0.13000";"-0.37583"
"-0.13200";"-0.39062"
"-0.13400";"-0.39929"
"-0.13600";"-0.39821"
"-0.13800";"-0.39446"
"-0.14000";"-0.38642"
"-0.14200";"-0.37033"
"-0.14400";"-0.33529"
"-0.14600";"-0.29108"
"-0.14800";"-0.25483"
"-0.15000";"-0.23575"
"-0.15200";"-0.22604"
"-0.15400";"-0.21271"
"-0.15600";"-0.19654"
"-0.15800";"-0.19033"
"-0.16000";"-0.19883"
"-0.16200";"-0.20133"
"-0.16400";"-0.17813"
"-0.16600";"-0.14775"
"-0.16800";"-0.12833"
"-0.17000";"-0.12712"
"-0.17200";"-0.12654"
"-0.17400";"-0.12625"
"-0.17600";"-0.12529"
"-0.17800";"-0.12508"
"-0.18000";"-0.12429"
"-0.18200";"-0.12425"
"-0.18400";"-0.12371"
"-0.18600";"-0.12312"
"-0.18800";"-0.12267"
"-0.19000";"-0.12246"
"-0.19200";"-0.12250"
"-0.19400";"-0.12212"
"-0.19600";"-0.12154"
"-0.19800";"-0.12113"
"-0.20000";"-0.12083"
"-0.20200";"-0.12096"
"-0.20400";"-0.12079"
"-0.20600";"-0.12062"
"-0.20800";"-0.12054"
"-0.21000";"-0.12100"
"-0.21200";"-0.12104"
"-0.21400";"-0.12100"
"-0.21600";"-0.12008"
"-0.21800";"-0.12025"
"-0.22000";"-0.12008"
"-0.22200";"-0.12046"
"-0.22400";"-0.12033"
"-0.22600";"-0.12004"
"-0.22800";"-0.12004"
"-0.23000";"-0.11996"
"-0.23200";"-0.12025"
"-0.23400";"-0.12054"
"-0.23600";"-0.12037"
"-0.23800";"-0.12067"
"-0.24000";"-0.12058"
"-0.24200";"-0.12138"
"-0.24400";"-0.12129"
"-0.24600";"-0.12150"
"-0.24800";"-0.12167"
"-0.25000";"-0.12217"
"-0.25200";"-0.12263"
"-0.25400";"-0.12263"
"-0.25600";"-0.12271"
"-0.25800";"-0.12304"
"-0.26000";"-0.12358"
"-0.26200";"-0.12438"
"-0.26400";"-0.12437"
"-0.26600";"-0.12488"
"-0.26800";"-0.12508"
"-0.27000";"-0.12575"
"-0.27200";"-0.12600"
"-0.27400";"-0.12625"
"-0.27600";"-0.12658"
"-0.27800";"-0.12671"
"-0.28000";"-0.12721"
"-0.28200";"-0.12779"
"-0.28400";"-0.12862"
"-0.28600";"-0.12883"
"-0.28800";"-0.12921"
"-0.29000";"-0.12971"
"-0.29200";"-0.13050"
"-0.29400";"-0.13096"
"-0.29600";"-0.13150"
"-0.29800";"-0.13192"
"-0.30000";"-0.13246"
"-0.30200";"-0.13283"
"-0.30400";"-0.13325"
"-0.30600";"-0.13396"
"-0.30800";"-0.13467"
"-0.31000";"-0.13863"
"-0.31200";"-0.13925"
"-0.31400";"-0.13950"
"-0.31600";"-0.13708"
"-0.31800";"-0.13775"
"-0.32000";"-0.13875"
"-0.32200";"-0.13975"
"-0.32400";"-0.14029"
"-0.32600";"-0.14117"
"-0.32800";"-0.14196"
"-0.33000";"-0.14358"
"-0.33200";"-0.14488"
"-0.33400";"-0.14583"
"-0.33600";"-0.14688"
"-0.33800";"-0.14821"
"-0.34000";"-0.15013"
"-0.34200";"-0.15146"
"-0.34400";"-0.15262"
"-0.34600";"-0.15375"
"-0.34800";"-0.15533"
"-0.35000";"-0.15721"
"-0.35200";"-0.15904"
"-0.35400";"-0.16075"
"-0.35600";"-0.16229"
"-0.35800";"-0.16417"
"-0.36000";"-0.16608"
"-0.36200";"-0.16829"
"-0.36400";"-0.17004"
"-0.36600";"-0.17208"
"-0.36800";"-0.17438"
"-0.37000";"-0.17667"
"-0.37200";"-0.17921"
"-0.37400";"-0.18142"
"-0.37600";"-0.18392"
"-0.37800";"-0.18600"
"-0.38000";"-0.18846"
"-0.38200";"-0.19062"
"-0.38400";"-0.19325"
"-0.38600";"-0.19546"
"-0.38800";"-0.19817"
"-0.39000";"-0.20067"
"-0.39200";"-0.20342"
"-0.39400";"-0.20621"
"-0.39600";"-0.20963"
"-0.39800";"-0.21325"
"-0.40000";"-0.21650"
"-0.40200";"-0.21946"
"-0.40400";"-0.22237"
"-0.40600";"-0.22596"
"-0.40800";"-0.22929"
"-0.41000";"-0.23296"
"-0.41200";"-0.23658"
"-0.41400";"-0.24021"
"-0.41600";"-0.24387"
"-0.41800";"-0.24733"
"-0.42000";"-0.25129"
"-0.42200";"-0.25554"
"-0.42400";"-0.26004"
"-0.42600";"-0.26458"
"-0.42800";"-0.26871"
"-0.43000";"-0.27292"
"-0.43200";"-0.27721"
"-0.43400";"-0.28212"
"-0.43600";"-0.28808"
"-0.43800";"-0.29392"
"-0.44000";"-0.29887"
"-0.44200";"-0.30275"
"-0.44400";"-0.30675"
"-0.44600";"-0.31246"
"-0.44800";"-0.31808"
"-0.45000";"-0.32433"
"-0.45200";"-0.32937"
"-0.45400";"-0.33512"
"-0.45600";"-0.34125"
"-0.45800";"-0.34792"
"-0.46000";"-0.35471"
"-0.46200";"-0.36183"
"-0.46400";"-0.36833"
"-0.46600";"-0.37487"
"-0.46800";"-0.38117"
"-0.47000";"-0.38833"
"-0.47200";"-0.39492"
"-0.47400";"-0.40221"
"-0.47600";"-0.40971"
"-0.47800";"-0.41804"
"-0.48000";"-0.42579"
"-0.48200";"-0.43567"
"-0.48400";"-0.44446"
"-0.48600";"-0.45342"
"-0.48800";"-0.46054"
"-0.49000";"-0.46967"
"-0.49200";"-0.47850"
"-0.49400";"-0.48767"
"-0.49600";"-0.49683"
"-0.49800";"-0.50708"
"-0.50000";"-0.51754"
"-0.50200";"-0.52738"
"-0.50400";"-0.53787"
"-0.50600";"-0.54862"
"-0.50800";"-0.56012"
"-0.51000";"-0.57046"
"-0.51200";"-0.58158"
"-0.51400";"-0.59258"
"-0.51600";"-0.60479"
"-0.51800";"-0.61646"
"-0.52000";"-0.62833"
"-0.52200";"-0.64054"
"-0.52400";"-0.65317"
"-0.52600";"-0.66683"
"-0.52800";"-0.68037"
"-0.53000";"-0.69408"
"-0.53200";"-0.70742"
"-0.53400";"-0.72163"
"-0.53600";"-0.73617"
"-0.53800";"-0.75146"
"-0.54000";"-0.76596"
"-0.54200";"-0.78129"
"-0.54400";"-0.79708"
"-0.54600";"-0.81400"
"-0.54800";"-0.83137"
