"CERIAS 1 "
""
"Time (s)";"Current (uA)"
"0.00000";"-4.09750"
"0.50000";"-3.84500"
"1.00000";"-3.62000"
"1.50000";"-3.43125"
"2.00000";"-3.27083"
"2.50000";"-3.13250"
"3.00000";"-3.01125"
"3.50000";"-2.90417"
"4.00000";"-2.80750"
"4.50000";"-2.72042"
"5.00000";"-2.64167"
"5.50000";"-2.57125"
"6.00000";"-2.50750"
"6.50000";"-2.44833"
"7.00000";"-2.39250"
"7.50000";"-2.34000"
"8.00000";"-2.29125"
"8.50000";"-2.24625"
"9.00000";"-2.20375"
"9.50000";"-2.16375"
"10.00000";"-2.12583"
"10.50000";"-2.09000"
"11.00000";"-2.05625"
"11.50000";"-2.02417"
"12.00000";"-1.99375"
"12.50000";"-1.96500"
"13.00000";"-1.93750"
"13.50000";"-1.91167"
"14.00000";"-1.88667"
"14.50000";"-1.86333"
"15.00000";"-1.84083"
"15.50000";"-1.81917"
"16.00000";"-1.79792"
"16.50000";"-1.77496"
"17.00000";"-1.75338"
"17.50000";"-1.73246"
"18.00000";"-1.71475"
"18.50000";"-1.69754"
"19.00000";"-1.68083"
"19.50000";"-1.66500"
"20.00000";"-1.64942"
"20.50000";"-1.63442"
"21.00000";"-1.62008"
"21.50000";"-1.60612"
"22.00000";"-1.59258"
"22.50000";"-1.57917"
"23.00000";"-1.56608"
"23.50000";"-1.55358"
"24.00000";"-1.54146"
"24.50000";"-1.52992"
"25.00000";"-1.51883"
"25.50000";"-1.50796"
"26.00000";"-1.49713"
"26.50000";"-1.48646"
"27.00000";"-1.47600"
"27.50000";"-1.46596"
"28.00000";"-1.45596"
"28.50000";"-1.44650"
"29.00000";"-1.43738"
"29.50000";"-1.42854"
"30.00000";"-1.41975"
"30.50000";"-1.41108"
"31.00000";"-1.40258"
"31.50000";"-1.39433"
"32.00000";"-1.38646"
"32.50000";"-1.37862"
"33.00000";"-1.37100"
"33.50000";"-1.36325"
"34.00000";"-1.35592"
"34.50000";"-1.34867"
"35.00000";"-1.34162"
"35.50000";"-1.33475"
"36.00000";"-1.32796"
"36.50000";"-1.32146"
"37.00000";"-1.31500"
"37.50000";"-1.30863"
"38.00000";"-1.30246"
"38.50000";"-1.29604"
"39.00000";"-1.29000"
"39.50000";"-1.28392"
"40.00000";"-1.27817"
"40.50000";"-1.27250"
"41.00000";"-1.26675"
"41.50000";"-1.26104"
"42.00000";"-1.25567"
"42.50000";"-1.25033"
"43.00000";"-1.24542"
"43.50000";"-1.24017"
"44.00000";"-1.23550"
"44.50000";"-1.23058"
"45.00000";"-1.22583"
"45.50000";"-1.22067"
"46.00000";"-1.21588"
"46.50000";"-1.21125"
"47.00000";"-1.20675"
"47.50000";"-1.20233"
"48.00000";"-1.19779"
"48.50000";"-1.19346"
"49.00000";"-1.18892"
"49.50000";"-1.18463"
"50.00000";"-1.18037"
"50.50000";"-1.17646"
"51.00000";"-1.17250"
"51.50000";"-1.16862"
"52.00000";"-1.16471"
"52.50000";"-1.16087"
"53.00000";"-1.15700"
"53.50000";"-1.15317"
"54.00000";"-1.14933"
"54.50000";"-1.14562"
"55.00000";"-1.14208"
"55.50000";"-1.13829"
"56.00000";"-1.13479"
"56.50000";"-1.13125"
"57.00000";"-1.12804"
"57.50000";"-1.12471"
"58.00000";"-1.12146"
"58.50000";"-1.11821"
"59.00000";"-1.11508"
"59.50000";"-1.11208"
"60.00000";"-1.10904"
"60.50000";"-1.10612"
"61.00000";"-1.10300"
"61.50000";"-1.10042"
"62.00000";"-1.09754"
"62.50000";"-1.09492"
"63.00000";"-1.09188"
"63.50000";"-1.08913"
"64.00000";"-1.08613"
"64.50000";"-1.08337"
"65.00000";"-1.08067"
"65.50000";"-1.07800"
"66.00000";"-1.07554"
"66.50000";"-1.07288"
"67.00000";"-1.07050"
"67.50000";"-1.06812"
"68.00000";"-1.06592"
"68.50000";"-1.06371"
"69.00000";"-1.06138"
"69.50000";"-1.05904"
"70.00000";"-1.05683"
"70.50000";"-1.05463"
"71.00000";"-1.05271"
"71.50000";"-1.05054"
"72.00000";"-1.04854"
"72.50000";"-1.04629"
"73.00000";"-1.04442"
"73.50000";"-1.04258"
"74.00000";"-1.04029"
"74.50000";"-1.03829"
"75.00000";"-1.03596"
"75.50000";"-1.03437"
"76.00000";"-1.03263"
"76.50000";"-1.03121"
"77.00000";"-1.02988"
"77.50000";"-1.02750"
"78.00000";"-1.02533"
"78.50000";"-1.02338"
"79.00000";"-1.02237"
"79.50000";"-1.02163"
"80.00000";"-1.02071"
"80.50000";"-1.01987"
"81.00000";"-1.01892"
"81.50000";"-1.01829"
"82.00000";"-1.01767"
"82.50000";"-1.01708"
"83.00000";"-1.01617"
"83.50000";"-1.01546"
"84.00000";"-1.01458"
"84.50000";"-1.01425"
"85.00000";"-1.01358"
"85.50000";"-1.01321"
"86.00000";"-1.01229"
"86.50000";"-1.01163"
"87.00000";"-1.01100"
"87.50000";"-1.01058"
"88.00000";"-1.01025"
"88.50000";"-1.00983"
"89.00000";"-1.00933"
"89.50000";"-1.00892"
"90.00000";"-1.00879"
"90.50000";"-1.00863"
"91.00000";"-1.00842"
"91.50000";"-1.00821"
"92.00000";"-1.00804"
"92.50000";"-1.00800"
"93.00000";"-1.00787"
"93.50000";"-1.00796"
"94.00000";"-1.00825"
"94.50000";"-1.00854"
"95.00000";"-1.00900"
"95.50000";"-1.00996"
"96.00000";"-1.01067"
"96.50000";"-1.01117"
"97.00000";"-1.01121"
"97.50000";"-1.01162"
"98.00000";"-1.01233"
"98.50000";"-1.01333"
"99.00000";"-1.01454"
"99.50000";"-1.01575"
"100.00000";"-1.01679"
"100.50000";"-1.01792"
"101.00000";"-1.01946"
"101.50000";"-1.02138"
"102.00000";"-1.02337"
"102.50000";"-1.02542"
"103.00000";"-1.02729"
"103.50000";"-1.02904"
"104.00000";"-1.03046"
"104.50000";"-1.03196"
"105.00000";"-1.03367"
"105.50000";"-1.03546"
"106.00000";"-1.03725"
"106.50000";"-1.03892"
"107.00000";"-1.04046"
"107.50000";"-1.04237"
"108.00000";"-1.04417"
"108.50000";"-1.04592"
"109.00000";"-1.04779"
"109.50000";"-1.04962"
"110.00000";"-1.05204"
"110.50000";"-1.05392"
"111.00000";"-1.05621"
"111.50000";"-1.05813"
"112.00000";"-1.06021"
"112.50000";"-1.06246"
"113.00000";"-1.06500"
"113.50000";"-1.06763"
"114.00000";"-1.07013"
"114.50000";"-1.07250"
"115.00000";"-1.07504"
"115.50000";"-1.07754"
"116.00000";"-1.08025"
"116.50000";"-1.08292"
"117.00000";"-1.08583"
"117.50000";"-1.08887"
"118.00000";"-1.09196"
"118.50000";"-1.09479"
"119.00000";"-1.09750"
"119.50000";"-1.10029"
"120.00000";"-1.10337"
