"blank2"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.05257"
"0.50000";"-0.04977"
"1.00000";"-0.04755"
"1.50000";"-0.04541"
"2.00000";"-0.04375"
"2.50000";"-0.04193"
"3.00000";"-0.04078"
"3.50000";"-0.03955"
"4.00000";"-0.03841"
"4.50000";"-0.03712"
"5.00000";"-0.03605"
"5.50000";"-0.03537"
"6.00000";"-0.03453"
"6.50000";"-0.03376"
"7.00000";"-0.03282"
"7.50000";"-0.03202"
"8.00000";"-0.03114"
"8.50000";"-0.03055"
"9.00000";"-0.03013"
"9.50000";"-0.02928"
"10.00000";"-0.02830"
"10.50000";"-0.02733"
"11.00000";"-0.02695"
"11.50000";"-0.02618"
"12.00000";"-0.02505"
"12.50000";"-0.02428"
"13.00000";"-0.02380"
"13.50000";"-0.02360"
"14.00000";"-0.02297"
"14.50000";"-0.02262"
"15.00000";"-0.02240"
"15.50000";"-0.02234"
"16.00000";"-0.02212"
"16.50000";"-0.02161"
"17.00000";"-0.02097"
"17.50000";"-0.02030"
"18.00000";"-0.01985"
"18.50000";"-0.01953"
"19.00000";"-0.01930"
"19.50000";"-0.01925"
"20.00000";"-0.01908"
"20.50000";"-0.01899"
"21.00000";"-0.01875"
"21.50000";"-0.01873"
"22.00000";"-0.01844"
"22.50000";"-0.01837"
"23.00000";"-0.01852"
"23.50000";"-0.01850"
"24.00000";"-0.01814"
"24.50000";"-0.01768"
"25.00000";"-0.01787"
"25.50000";"-0.01797"
"26.00000";"-0.01782"
"26.50000";"-0.01736"
"27.00000";"-0.01729"
"27.50000";"-0.01737"
"28.00000";"-0.01724"
"28.50000";"-0.01712"
"29.00000";"-0.01680"
"29.50000";"-0.01731"
"30.00000";"-0.01733"
"30.50000";"-0.01734"
"31.00000";"-0.01690"
"31.50000";"-0.01693"
"32.00000";"-0.01705"
"32.50000";"-0.01694"
"33.00000";"-0.01663"
"33.50000";"-0.01653"
"34.00000";"-0.01647"
"34.50000";"-0.01654"
"35.00000";"-0.01639"
"35.50000";"-0.01638"
"36.00000";"-0.01668"
"36.50000";"-0.01695"
"37.00000";"-0.01675"
"37.50000";"-0.01641"
"38.00000";"-0.01610"
"38.50000";"-0.01610"
"39.00000";"-0.01595"
"39.50000";"-0.01581"
"40.00000";"-0.01574"
"40.50000";"-0.01705"
"41.00000";"-0.01708"
"41.50000";"-0.01715"
"42.00000";"-0.01565"
"42.50000";"-0.01718"
"43.00000";"-0.01730"
"43.50000";"-0.01751"
"44.00000";"-0.01636"
"44.50000";"-0.01632"
"45.00000";"-0.01631"
"45.50000";"-0.01586"
"46.00000";"-0.01559"
"46.50000";"-0.01545"
"47.00000";"-0.01553"
"47.50000";"-0.01563"
"48.00000";"-0.01595"
"48.50000";"-0.01583"
"49.00000";"-0.01567"
"49.50000";"-0.01529"
"50.00000";"-0.01533"
"50.50000";"-0.01526"
"51.00000";"-0.01530"
"51.50000";"-0.01521"
"52.00000";"-0.01525"
"52.50000";"-0.01517"
"53.00000";"-0.01502"
"53.50000";"-0.01515"
"54.00000";"-0.01534"
"54.50000";"-0.01551"
"55.00000";"-0.01548"
