"NEGATIVO 1"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.03850"
"0.50000";"-0.03623"
"1.00000";"-0.03425"
"1.50000";"-0.03243"
"2.00000";"-0.03061"
"2.50000";"-0.02907"
"3.00000";"-0.02780"
"3.50000";"-0.02691"
"4.00000";"-0.02599"
"4.50000";"-0.02520"
"5.00000";"-0.02458"
"5.50000";"-0.02384"
"6.00000";"-0.02311"
"6.50000";"-0.02205"
"7.00000";"-0.02166"
"7.50000";"-0.02112"
"8.00000";"-0.02098"
"8.50000";"-0.02043"
"9.00000";"-0.02022"
"9.50000";"-0.01973"
"10.00000";"-0.01922"
"10.50000";"-0.01863"
"11.00000";"-0.01811"
"11.50000";"-0.01779"
"12.00000";"-0.01749"
"12.50000";"-0.01746"
"13.00000";"-0.01708"
"13.50000";"-0.01676"
"14.00000";"-0.01610"
"14.50000";"-0.01584"
"15.00000";"-0.01552"
"15.50000";"-0.01531"
"16.00000";"-0.01505"
"16.50000";"-0.01483"
"17.00000";"-0.01453"
"17.50000";"-0.01425"
"18.00000";"-0.01399"
"18.50000";"-0.01385"
"19.00000";"-0.01362"
"19.50000";"-0.01329"
"20.00000";"-0.01307"
"20.50000";"-0.01295"
"21.00000";"-0.01293"
"21.50000";"-0.01289"
"22.00000";"-0.01261"
"22.50000";"-0.01230"
"23.00000";"-0.01212"
"23.50000";"-0.01187"
"24.00000";"-0.01172"
"24.50000";"-0.01135"
"25.00000";"-0.01129"
"25.50000";"-0.01101"
"26.00000";"-0.01095"
"26.50000";"-0.01074"
"27.00000";"-0.01057"
"27.50000";"-0.01031"
"28.00000";"-0.01033"
"28.50000";"-0.01036"
"29.00000";"-0.01027"
"29.50000";"-0.01003"
"30.00000";"-0.00984"
"30.50000";"-0.00971"
"31.00000";"-0.00955"
"31.50000";"-0.00920"
"32.00000";"-0.00907"
"32.50000";"-0.00887"
"33.00000";"-0.00885"
"33.50000";"-0.00876"
"34.00000";"-0.00863"
"34.50000";"-0.00857"
"35.00000";"-0.00851"
"35.50000";"-0.00862"
"36.00000";"-0.00859"
"36.50000";"-0.00849"
"37.00000";"-0.00851"
"37.50000";"-0.00848"
"38.00000";"-0.00848"
"38.50000";"-0.00823"
"39.00000";"-0.00823"
"39.50000";"-0.00815"
"40.00000";"-0.00816"
"40.50000";"-0.00815"
"41.00000";"-0.00819"
"41.50000";"-0.00813"
"42.00000";"-0.00803"
"42.50000";"-0.00791"
"43.00000";"-0.00777"
"43.50000";"-0.00786"
"44.00000";"-0.00780"
"44.50000";"-0.00783"
"45.00000";"-0.00771"
"45.50000";"-0.00766"
"46.00000";"-0.00770"
"46.50000";"-0.00762"
"47.00000";"-0.00765"
"47.50000";"-0.00764"
"48.00000";"-0.00773"
"48.50000";"-0.00787"
"49.00000";"-0.00782"
"49.50000";"-0.00759"
"50.00000";"-0.00743"
"50.50000";"-0.00753"
"51.00000";"-0.00768"
"51.50000";"-0.00776"
"52.00000";"-0.00778"
"52.50000";"-0.00785"
"53.00000";"-0.00773"
"53.50000";"-0.00771"
"54.00000";"-0.00777"
"54.50000";"-0.00770"
"55.00000";"-0.00765"
"55.50000";"-0.00744"
"56.00000";"-0.00748"
"56.50000";"-0.00747"
"57.00000";"-0.00753"
"57.50000";"-0.00764"
"58.00000";"-0.00750"
"58.50000";"-0.00744"
"59.00000";"-0.00747"
"59.50000";"-0.00759"
"60.00000";"-0.00768"
"60.50000";"-0.00753"
"61.00000";"-0.00751"
"61.50000";"-0.00747"
"62.00000";"-0.00768"
"62.50000";"-0.00767"
"63.00000";"-0.00769"
"63.50000";"-0.00771"
"64.00000";"-0.00788"
"64.50000";"-0.00794"
"65.00000";"-0.00800"
"65.50000";"-0.00789"
"66.00000";"-0.00784"
"66.50000";"-0.00774"
"67.00000";"-0.00780"
"67.50000";"-0.00789"
"68.00000";"-0.00820"
"68.50000";"-0.00817"
"69.00000";"-0.00824"
"69.50000";"-0.00780"
"70.00000";"-0.00790"
"70.50000";"-0.00794"
"71.00000";"-0.00797"
"71.50000";"-0.00792"
"72.00000";"-0.00812"
"72.50000";"-0.00834"
"73.00000";"-0.00830"
"73.50000";"-0.00810"
"74.00000";"-0.00857"
"74.50000";"-0.00843"
"75.00000";"-0.00802"
"75.50000";"-0.00747"
"76.00000";"-0.00774"
"76.50000";"-0.00797"
"77.00000";"-0.00808"
"77.50000";"-0.00813"
"78.00000";"-0.00833"
"78.50000";"-0.00841"
"79.00000";"-0.00830"
"79.50000";"-0.00823"
"80.00000";"-0.00802"
"80.50000";"-0.00834"
"81.00000";"-0.00843"
"81.50000";"-0.00879"
"82.00000";"-0.00853"
"82.50000";"-0.00859"
"83.00000";"-0.00839"
"83.50000";"-0.00858"
"84.00000";"-0.00848"
"84.50000";"-0.00852"
"85.00000";"-0.00844"
"85.50000";"-0.00857"
"86.00000";"-0.00853"
"86.50000";"-0.00880"
"87.00000";"-0.00855"
"87.50000";"-0.00866"
"88.00000";"-0.00823"
"88.50000";"-0.00844"
"89.00000";"-0.00841"
"89.50000";"-0.00879"
"90.00000";"-0.00888"
"90.50000";"-0.00887"
"91.00000";"-0.00871"
"91.50000";"-0.00865"
"92.00000";"-0.00854"
"92.50000";"-0.00857"
"93.00000";"-0.00865"
"93.50000";"-0.00893"
"94.00000";"-0.00900"
"94.50000";"-0.00900"
"95.00000";"-0.00896"
"95.50000";"-0.00897"
"96.00000";"-0.00908"
"96.50000";"-0.00903"
"97.00000";"-0.00914"
"97.50000";"-0.00910"
"98.00000";"-0.00922"
"98.50000";"-0.00910"
"99.00000";"-0.00914"
"99.50000";"-0.00905"
"100.00000";"-0.00909"
"100.50000";"-0.00907"
"101.00000";"-0.00920"
"101.50000";"-0.00924"
"102.00000";"-0.00929"
"102.50000";"-0.00916"
"103.00000";"-0.00911"
"103.50000";"-0.00915"
"104.00000";"-0.00918"
"104.50000";"-0.00911"
"105.00000";"-0.00893"
"105.50000";"-0.00908"
"106.00000";"-0.00918"
"106.50000";"-0.00927"
"107.00000";"-0.00921"
"107.50000";"-0.00923"
"108.00000";"-0.00919"
"108.50000";"-0.00912"
"109.00000";"-0.00918"
"109.50000";"-0.00918"
"110.00000";"-0.00915"
"110.50000";"-0.00923"
"111.00000";"-0.00918"
"111.50000";"-0.00932"
"112.00000";"-0.00922"
"112.50000";"-0.00916"
"113.00000";"-0.00913"
"113.50000";"-0.00900"
"114.00000";"-0.00923"
"114.50000";"-0.00922"
"115.00000";"-0.00925"
"115.50000";"-0.00909"
"116.00000";"-0.00915"
"116.50000";"-0.00924"
"117.00000";"-0.00954"
"117.50000";"-0.00949"
"118.00000";"-0.00938"
"118.50000";"-0.00920"
"119.00000";"-0.00918"
"119.50000";"-0.00931"
"120.00000";"-0.00944"
