"blank1"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.35212"
"0.50000";"-0.33158"
"1.00000";"-0.31350"
"1.50000";"-0.29817"
"2.00000";"-0.28517"
"2.50000";"-0.27346"
"3.00000";"-0.26333"
"3.50000";"-0.25467"
"4.00000";"-0.24750"
"4.50000";"-0.24013"
"5.00000";"-0.23492"
"5.50000";"-0.22804"
"6.00000";"-0.22233"
"6.50000";"-0.21521"
"7.00000";"-0.21017"
"7.50000";"-0.20554"
"8.00000";"-0.20125"
"8.50000";"-0.19725"
"9.00000";"-0.19350"
"9.50000";"-0.18988"
"10.00000";"-0.18629"
"10.50000";"-0.18325"
"11.00000";"-0.18008"
"11.50000";"-0.17733"
"12.00000";"-0.17450"
"12.50000";"-0.17204"
"13.00000";"-0.16971"
"13.50000";"-0.16707"
"14.00000";"-0.16467"
"14.50000";"-0.16258"
"15.00000";"-0.16071"
"15.50000";"-0.15875"
"16.00000";"-0.15669"
"16.50000";"-0.15505"
"17.00000";"-0.15346"
"17.50000";"-0.15175"
"18.00000";"-0.15027"
"18.50000";"-0.14894"
"19.00000";"-0.14779"
"19.50000";"-0.14628"
"20.00000";"-0.14494"
"20.50000";"-0.14364"
"21.00000";"-0.14252"
"21.50000";"-0.14145"
"22.00000";"-0.14027"
"22.50000";"-0.13928"
"23.00000";"-0.13828"
"23.50000";"-0.13737"
"24.00000";"-0.13623"
"24.50000";"-0.13535"
"25.00000";"-0.13441"
"25.50000";"-0.13370"
"26.00000";"-0.13278"
"26.50000";"-0.13215"
"27.00000";"-0.13149"
"27.50000";"-0.13092"
"28.00000";"-0.13014"
"28.50000";"-0.12938"
"29.00000";"-0.12851"
"29.50000";"-0.12797"
"30.00000";"-0.12760"
"30.50000";"-0.12729"
"31.00000";"-0.12679"
"31.50000";"-0.12615"
"32.00000";"-0.12559"
"32.50000";"-0.12515"
"33.00000";"-0.12477"
"33.50000";"-0.12431"
"34.00000";"-0.12369"
"34.50000";"-0.12308"
"35.00000";"-0.12255"
"35.50000";"-0.12210"
"36.00000";"-0.12167"
"36.50000";"-0.12093"
"37.00000";"-0.12049"
"37.50000";"-0.12014"
"38.00000";"-0.11985"
"38.50000";"-0.11951"
"39.00000";"-0.11897"
"39.50000";"-0.11869"
"40.00000";"-0.11826"
"40.50000";"-0.11793"
"41.00000";"-0.11766"
"41.50000";"-0.11728"
"42.00000";"-0.11698"
"42.50000";"-0.11666"
"43.00000";"-0.11650"
"43.50000";"-0.11630"
"44.00000";"-0.11610"
"44.50000";"-0.11595"
"45.00000";"-0.11580"
"45.50000";"-0.11569"
"46.00000";"-0.11530"
"46.50000";"-0.11529"
"47.00000";"-0.11504"
"47.50000";"-0.11521"
"48.00000";"-0.11515"
"48.50000";"-0.11525"
"49.00000";"-0.11532"
"49.50000";"-0.11551"
"50.00000";"-0.11690"
"50.50000";"-0.11742"
"51.00000";"-0.11762"
"51.50000";"-0.11668"
"52.00000";"-0.11663"
"52.50000";"-0.11664"
"53.00000";"-0.11670"
"53.50000";"-0.11652"
"54.00000";"-0.11631"
"54.50000";"-0.11615"
"55.00000";"-0.11605"
"55.50000";"-0.11589"
"56.00000";"-0.11563"
"56.50000";"-0.11554"
"57.00000";"-0.11563"
"57.50000";"-0.11533"
"58.00000";"-0.11518"
"58.50000";"-0.11490"
"59.00000";"-0.11487"
"59.50000";"-0.11453"
"60.00000";"-0.11426"
