"BLANK2"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.22113"
"0.50000";"-0.20821"
"1.00000";"-0.19688"
"1.50000";"-0.18746"
"2.00000";"-0.17942"
"2.50000";"-0.17233"
"3.00000";"-0.16604"
"3.50000";"-0.15994"
"4.00000";"-0.15428"
"4.50000";"-0.14902"
"5.00000";"-0.14487"
"5.50000";"-0.14129"
"6.00000";"-0.13779"
"6.50000";"-0.13443"
"7.00000";"-0.13110"
"7.50000";"-0.12827"
"8.00000";"-0.12556"
"8.50000";"-0.12292"
"9.00000";"-0.12022"
"9.50000";"-0.11770"
"10.00000";"-0.11555"
"10.50000";"-0.11364"
"11.00000";"-0.11189"
"11.50000";"-0.10998"
"12.00000";"-0.10846"
"12.50000";"-0.10670"
"13.00000";"-0.10538"
"13.50000";"-0.10409"
"14.00000";"-0.10290"
"14.50000";"-0.10165"
"15.00000";"-0.10035"
"15.50000";"-0.09916"
"16.00000";"-0.09799"
"16.50000";"-0.09695"
"17.00000";"-0.09602"
"17.50000";"-0.09512"
"18.00000";"-0.09421"
"18.50000";"-0.09320"
"19.00000";"-0.09235"
"19.50000";"-0.09144"
"20.00000";"-0.09062"
"20.50000";"-0.08996"
"21.00000";"-0.08913"
"21.50000";"-0.08850"
"22.00000";"-0.08761"
"22.50000";"-0.08695"
"23.00000";"-0.08620"
"23.50000";"-0.08560"
"24.00000";"-0.08494"
"24.50000";"-0.08445"
"25.00000";"-0.08400"
"25.50000";"-0.08358"
"26.00000";"-0.08300"
"26.50000";"-0.08246"
"27.00000";"-0.08194"
"27.50000";"-0.08148"
"28.00000";"-0.08091"
"28.50000";"-0.08053"
"29.00000";"-0.08033"
"29.50000";"-0.08013"
"30.00000";"-0.07980"
"30.50000";"-0.07920"
"31.00000";"-0.07878"
"31.50000";"-0.07835"
"32.00000";"-0.07800"
"32.50000";"-0.07773"
"33.00000";"-0.07764"
"33.50000";"-0.07750"
"34.00000";"-0.07714"
"34.50000";"-0.07670"
"35.00000";"-0.07619"
"35.50000";"-0.07573"
"36.00000";"-0.07535"
"36.50000";"-0.07516"
"37.00000";"-0.07502"
"37.50000";"-0.07481"
"38.00000";"-0.07475"
"38.50000";"-0.07445"
"39.00000";"-0.07433"
"39.50000";"-0.07381"
"40.00000";"-0.07365"
"40.50000";"-0.07320"
"41.00000";"-0.07318"
"41.50000";"-0.07297"
"42.00000";"-0.07302"
"42.50000";"-0.07276"
"43.00000";"-0.07257"
"43.50000";"-0.07224"
"44.00000";"-0.07207"
"44.50000";"-0.07202"
"45.00000";"-0.07201"
"45.50000";"-0.07200"
"46.00000";"-0.07185"
"46.50000";"-0.07168"
"47.00000";"-0.07174"
"47.50000";"-0.07169"
"48.00000";"-0.07152"
"48.50000";"-0.07132"
"49.00000";"-0.07128"
"49.50000";"-0.07135"
"50.00000";"-0.07121"
"50.50000";"-0.07106"
"51.00000";"-0.07103"
"51.50000";"-0.07107"
"52.00000";"-0.07110"
"52.50000";"-0.07095"
"53.00000";"-0.07086"
"53.50000";"-0.07062"
"54.00000";"-0.07061"
"54.50000";"-0.07045"
"55.00000";"-0.07046"
"55.50000";"-0.07022"
"56.00000";"-0.07027"
"56.50000";"-0.07023"
"57.00000";"-0.07034"
"57.50000";"-0.07020"
"58.00000";"-0.07010"
"58.50000";"-0.07004"
"59.00000";"-0.07002"
"59.50000";"-0.07002"
"60.00000";"-0.07004"
