"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"0.00000";"-41.37500"
"-0.00200";"-41.05000"
"-0.00400";"-40.70000"
"-0.00600";"-40.32084"
"-0.00800";"-39.93333"
"-0.01000";"-39.55000"
"-0.01200";"-39.16667"
"-0.01400";"-38.79583"
"-0.01600";"-38.42083"
"-0.01800";"-38.03750"
"-0.02000";"-37.65834"
"-0.02200";"-37.28750"
"-0.02400";"-36.92500"
"-0.02600";"-36.57500"
"-0.02800";"-36.20417"
"-0.03000";"-35.85000"
"-0.03200";"-35.47917"
"-0.03400";"-35.13750"
"-0.03600";"-34.80000"
"-0.03800";"-34.46666"
"-0.04000";"-34.13333"
"-0.04200";"-33.80833"
"-0.04400";"-33.48750"
"-0.04600";"-33.17083"
"-0.04800";"-32.84583"
"-0.05000";"-32.53750"
"-0.05200";"-32.23333"
"-0.05400";"-31.93750"
"-0.05600";"-31.64166"
"-0.05800";"-31.34583"
"-0.06000";"-31.05833"
"-0.06200";"-30.77917"
"-0.06400";"-30.50833"
"-0.06600";"-30.24167"
"-0.06800";"-29.96250"
"-0.07000";"-29.69167"
"-0.07200";"-29.42500"
"-0.07400";"-29.17917"
"-0.07600";"-28.92917"
"-0.07800";"-28.67917"
"-0.08000";"-28.42917"
"-0.08200";"-28.18750"
"-0.08400";"-27.95000"
"-0.08600";"-27.71250"
"-0.08800";"-27.47917"
"-0.09000";"-27.25000"
"-0.09200";"-27.02917"
"-0.09400";"-26.80417"
"-0.09600";"-26.57916"
"-0.09800";"-26.35417"
"-0.10000";"-26.13750"
"-0.10200";"-25.93333"
"-0.10400";"-25.73333"
"-0.10600";"-25.53333"
"-0.10800";"-25.33333"
"-0.11000";"-25.13333"
"-0.11200";"-24.94167"
"-0.11400";"-24.75000"
"-0.11600";"-24.56667"
"-0.11800";"-24.37917"
"-0.12000";"-24.19583"
"-0.12200";"-24.00833"
"-0.12400";"-23.83333"
"-0.12600";"-23.65000"
"-0.12800";"-23.47917"
"-0.13000";"-23.30000"
"-0.13200";"-23.13333"
"-0.13400";"-22.95833"
"-0.13600";"-22.79167"
"-0.13800";"-22.62500"
"-0.14000";"-22.46667"
"-0.14200";"-22.30833"
"-0.14400";"-22.15000"
"-0.14600";"-21.98750"
"-0.14800";"-21.82500"
"-0.15000";"-21.67084"
"-0.15200";"-21.51667"
"-0.15400";"-21.37083"
"-0.15600";"-21.22083"
"-0.15800";"-21.08333"
"-0.16000";"-20.94167"
"-0.16200";"-20.80000"
"-0.16400";"-20.65417"
"-0.16600";"-20.50833"
"-0.16800";"-20.37083"
"-0.17000";"-20.23750"
"-0.17200";"-20.10833"
"-0.17400";"-19.97917"
"-0.17600";"-19.84583"
"-0.17800";"-19.71667"
"-0.18000";"-19.58750"
"-0.18200";"-19.46250"
"-0.18400";"-19.34167"
"-0.18600";"-19.22500"
"-0.18800";"-19.10417"
"-0.19000";"-18.98333"
"-0.19200";"-18.86250"
"-0.19400";"-18.75000"
"-0.19600";"-18.63333"
"-0.19800";"-18.51667"
"-0.20000";"-18.40000"
"-0.20200";"-18.28750"
"-0.20400";"-18.17500"
"-0.20600";"-18.06250"
"-0.20800";"-17.95417"
"-0.21000";"-17.85000"
"-0.21200";"-17.74167"
"-0.21400";"-17.63750"
"-0.21600";"-17.52917"
"-0.21800";"-17.42917"
"-0.22000";"-17.32917"
"-0.22200";"-17.22500"
"-0.22400";"-17.12500"
"-0.22600";"-17.01666"
"-0.22800";"-16.92083"
"-0.23000";"-16.82500"
"-0.23200";"-16.74167"
"-0.23400";"-16.65000"
"-0.23600";"-16.55417"
"-0.23800";"-16.45417"
"-0.24000";"-16.35833"
"-0.24200";"-16.26250"
"-0.24400";"-16.16667"
"-0.24600";"-16.08333"
"-0.24800";"-16.00000"
"-0.25000";"-15.91667"
"-0.25200";"-15.82500"
"-0.25400";"-15.73333"
"-0.25600";"-15.64583"
"-0.25800";"-15.55833"
"-0.26000";"-15.47083"
"-0.26200";"-15.39167"
"-0.26400";"-15.30833"
"-0.26600";"-15.22917"
"-0.26800";"-15.14583"
"-0.27000";"-15.06667"
"-0.27200";"-14.99167"
"-0.27400";"-14.90833"
"-0.27600";"-14.82917"
"-0.27800";"-14.75417"
"-0.28000";"-14.67917"
"-0.28200";"-14.60417"
"-0.28400";"-14.52500"
"-0.28600";"-14.45000"
"-0.28800";"-14.37500"
"-0.29000";"-14.30417"
"-0.29200";"-14.22917"
"-0.29400";"-14.15417"
"-0.29600";"-14.07917"
"-0.29800";"-14.01250"
"-0.30000";"-13.94583"
"-0.30200";"-13.88333"
"-0.30400";"-13.81250"
"-0.30600";"-13.74583"
"-0.30800";"-13.67500"
"-0.31000";"-13.60833"
"-0.31200";"-13.54167"
"-0.31400";"-13.47917"
"-0.31600";"-13.41667"
"-0.31800";"-13.35833"
"-0.32000";"-13.29167"
"-0.32200";"-13.23333"
"-0.32400";"-13.16667"
"-0.32600";"-13.10833"
"-0.32800";"-13.04167"
"-0.33000";"-12.98750"
"-0.33200";"-12.92500"
"-0.33400";"-12.87083"
"-0.33600";"-12.80833"
"-0.33800";"-12.75000"
"-0.34000";"-12.69167"
"-0.34200";"-12.63750"
"-0.34400";"-12.58333"
"-0.34600";"-12.52500"
"-0.34800";"-12.47500"
"-0.35000";"-12.42083"
"-0.35200";"-12.37083"
"-0.35400";"-12.31250"
"-0.35600";"-12.26250"
"-0.35800";"-12.20833"
"-0.36000";"-12.15000"
"-0.36200";"-12.09583"
"-0.36400";"-12.04167"
"-0.36600";"-11.99583"
"-0.36800";"-11.94167"
"-0.37000";"-11.89583"
"-0.37200";"-11.85000"
"-0.37400";"-11.80417"
"-0.37600";"-11.75833"
"-0.37800";"-11.70417"
"-0.38000";"-11.65833"
"-0.38200";"-11.60833"
"-0.38400";"-11.56250"
"-0.38600";"-11.51667"
"-0.38800";"-11.47083"
"-0.39000";"-11.42500"
"-0.39200";"-11.37500"
"-0.39400";"-11.32917"
"-0.39600";"-11.28333"
"-0.39800";"-11.23750"
"-0.40000";"-11.19583"
"-0.40200";"-11.15417"
"-0.40400";"-11.10833"
"-0.40600";"-11.06667"
"-0.40800";"-11.02083"
"-0.41000";"-10.98333"
"-0.41200";"-10.93750"
"-0.41400";"-10.90000"
"-0.41600";"-10.85417"
"-0.41800";"-10.81667"
"-0.42000";"-10.77917"
"-0.42200";"-10.74583"
"-0.42400";"-10.70000"
"-0.42600";"-10.65417"
"-0.42800";"-10.61667"
"-0.43000";"-10.57917"
"-0.43200";"-10.54167"
"-0.43400";"-10.50833"
"-0.43600";"-10.47500"
"-0.43800";"-10.44583"
"-0.44000";"-10.41250"
"-0.44200";"-10.37500"
"-0.44400";"-10.33750"
"-0.44600";"-10.29583"
"-0.44800";"-10.26667"
"-0.45000";"-10.23333"
"-0.45200";"-10.20000"
"-0.45400";"-10.16667"
"-0.45600";"-10.13333"
"-0.45800";"-10.10000"
"-0.46000";"-10.06667"
"-0.46200";"-10.03333"
"-0.46400";"-10.00000"
"-0.46600";"-9.97083"
"-0.46800";"-9.94583"
"-0.47000";"-9.91667"
"-0.47200";"-9.88333"
"-0.47400";"-9.85000"
"-0.47600";"-9.82083"
"-0.47800";"-9.80000"
"-0.48000";"-9.77500"
"-0.48200";"-9.75417"
"-0.48400";"-9.72500"
"-0.48600";"-9.69583"
"-0.48800";"-9.66667"
"-0.49000";"-9.64583"
"-0.49200";"-9.62083"
"-0.49400";"-9.59583"
"-0.49600";"-9.56667"
"-0.49800";"-9.54583"
"-0.50000";"-9.53333"
"-0.50200";"-9.50833"
"-0.50400";"-9.48750"
"-0.50600";"-9.45833"
"-0.50800";"-9.44583"
"-0.51000";"-9.42917"
"-0.51200";"-9.41250"
"-0.51400";"-9.38750"
"-0.51600";"-9.36667"
"-0.51800";"-9.34583"
"-0.52000";"-9.32917"
"-0.52200";"-9.30833"
"-0.52400";"-9.29167"
"-0.52600";"-9.28750"
"-0.52800";"-9.27500"
"-0.53000";"-9.27500"
"-0.53200";"-9.25000"
"-0.53400";"-9.24167"
"-0.53600";"-9.22083"
"-0.53800";"-9.20833"
"-0.54000";"-9.19167"
"-0.54200";"-9.17500"
"-0.54400";"-9.16667"
"-0.54600";"-9.15417"
"-0.54800";"-9.15000"
"-0.55000";"-9.14167"
"-0.55200";"-9.13333"
"-0.55400";"-9.12500"
"-0.55600";"-9.12083"
"-0.55800";"-9.12500"
"-0.56000";"-9.11667"
"-0.56200";"-9.11250"
"-0.56400";"-9.10833"
"-0.56600";"-9.11250"
"-0.56800";"-9.11250"
"-0.57000";"-9.10833"
"-0.57200";"-9.10417"
"-0.57400";"-9.10000"
"-0.57600";"-9.10000"
"-0.57800";"-9.10833"
"-0.58000";"-9.11667"
"-0.58200";"-9.12917"
"-0.58400";"-9.13333"
"-0.58600";"-9.14167"
"-0.58800";"-9.15000"
"-0.59000";"-9.16250"
"-0.59200";"-9.16667"
"-0.59400";"-9.17500"
"-0.59600";"-9.18333"
"-0.59800";"-9.19583"
"-0.60000";"-9.20000"
"-0.59800";"-9.10833"
"-0.59600";"-9.02917"
"-0.59400";"-8.95833"
"-0.59200";"-8.89167"
"-0.59000";"-8.82083"
"-0.58800";"-8.76250"
"-0.58600";"-8.69583"
"-0.58400";"-8.62917"
"-0.58200";"-8.56250"
"-0.58000";"-8.50833"
"-0.57800";"-8.45833"
"-0.57600";"-8.40417"
"-0.57400";"-8.35000"
"-0.57200";"-8.29583"
"-0.57000";"-8.24583"
"-0.56800";"-8.19583"
"-0.56600";"-8.15000"
"-0.56400";"-8.09583"
"-0.56200";"-8.04583"
"-0.56000";"-7.99583"
"-0.55800";"-7.95417"
"-0.55600";"-7.90833"
"-0.55400";"-7.86250"
"-0.55200";"-7.81667"
"-0.55000";"-7.77500"
"-0.54800";"-7.73750"
"-0.54600";"-7.69583"
"-0.54400";"-7.65417"
"-0.54200";"-7.60833"
"-0.54000";"-7.57083"
"-0.53800";"-7.53333"
"-0.53600";"-7.49583"
"-0.53400";"-7.45417"
"-0.53200";"-7.41250"
"-0.53000";"-7.37917"
"-0.52800";"-7.33750"
"-0.52600";"-7.30000"
"-0.52400";"-7.25417"
"-0.52200";"-7.22083"
"-0.52000";"-7.18333"
"-0.51800";"-7.15000"
"-0.51600";"-7.11667"
"-0.51400";"-7.07917"
"-0.51200";"-7.04583"
"-0.51000";"-7.01250"
"-0.50800";"-6.98333"
"-0.50600";"-6.95000"
"-0.50400";"-6.91667"
"-0.50200";"-6.88750"
"-0.50000";"-6.85417"
"-0.49800";"-6.81667"
"-0.49600";"-6.77500"
"-0.49400";"-6.74167"
"-0.49200";"-6.70833"
"-0.49000";"-6.67500"
"-0.48800";"-6.64583"
"-0.48600";"-6.61667"
"-0.48400";"-6.59167"
"-0.48200";"-6.56250"
"-0.48000";"-6.53333"
"-0.47800";"-6.50417"
"-0.47600";"-6.47500"
"-0.47400";"-6.44583"
"-0.47200";"-6.41250"
"-0.47000";"-6.38333"
"-0.46800";"-6.35000"
"-0.46600";"-6.32500"
"-0.46400";"-6.30000"
"-0.46200";"-6.27917"
"-0.46000";"-6.25833"
"-0.45800";"-6.23333"
"-0.45600";"-6.20833"
"-0.45400";"-6.17917"
"-0.45200";"-6.15000"
"-0.45000";"-6.12500"
"-0.44800";"-6.09167"
"-0.44600";"-6.06667"
