"400N1_1#005"
""
"Time (s)";"Current (uA)"
"0.00000";"-9.03875"
"0.50000";"-8.47875"
"1.00000";"-7.98458"
"1.50000";"-7.57667"
"2.00000";"-7.22917"
"2.50000";"-6.93000"
"3.00000";"-6.66625"
"3.50000";"-6.43333"
"4.00000";"-6.22292"
"4.50000";"-6.03458"
"5.00000";"-5.86458"
"5.50000";"-5.70875"
"6.00000";"-5.56500"
"6.50000";"-5.43708"
"7.00000";"-5.31458"
"7.50000";"-5.20208"
"8.00000";"-5.09125"
"8.50000";"-4.99458"
"9.00000";"-4.90167"
"9.50000";"-4.81375"
"10.00000";"-4.72833"
"10.50000";"-4.64875"
"11.00000";"-4.59083"
"11.50000";"-4.52125"
"12.00000";"-4.45458"
"12.50000";"-4.37375"
"13.00000";"-4.31250"
"13.50000";"-4.25417"
"14.00000";"-4.19875"
"14.50000";"-4.14583"
"15.00000";"-4.09625"
"15.50000";"-4.04750"
"16.00000";"-4.00083"
"16.50000";"-3.95500"
"17.00000";"-3.91167"
"17.50000";"-3.87042"
"18.00000";"-3.83125"
"18.50000";"-3.79375"
"19.00000";"-3.75583"
"19.50000";"-3.71833"
"20.00000";"-3.68250"
"20.50000";"-3.64958"
"21.00000";"-3.61708"
"21.50000";"-3.58500"
"22.00000";"-3.55292"
"22.50000";"-3.52292"
"23.00000";"-3.49417"
"23.50000";"-3.46625"
"24.00000";"-3.43917"
"24.50000";"-3.41292"
"25.00000";"-3.38917"
"25.50000";"-3.36458"
"26.00000";"-3.34000"
"26.50000";"-3.31417"
"27.00000";"-3.29125"
"27.50000";"-3.26875"
"28.00000";"-3.24667"
"28.50000";"-3.22417"
"29.00000";"-3.20333"
"29.50000";"-3.18417"
"30.00000";"-3.16583"
"30.50000";"-3.14708"
"31.00000";"-3.12792"
"31.50000";"-3.10875"
"32.00000";"-3.09000"
"32.50000";"-3.07167"
"33.00000";"-3.05417"
"33.50000";"-3.03750"
"34.00000";"-3.02167"
"34.50000";"-3.00583"
"35.00000";"-2.99042"
"35.50000";"-2.97500"
"36.00000";"-2.96000"
"36.50000";"-2.94542"
"37.00000";"-2.93125"
"37.50000";"-2.91750"
"38.00000";"-2.90417"
"38.50000";"-2.89125"
"39.00000";"-2.87875"
"39.50000";"-2.86583"
"40.00000";"-2.85292"
"40.50000";"-2.84042"
"41.00000";"-2.82792"
"41.50000";"-2.81667"
"42.00000";"-2.80542"
"42.50000";"-2.79583"
"43.00000";"-2.78500"
"43.50000";"-2.77375"
"44.00000";"-2.76250"
"44.50000";"-2.75250"
"45.00000";"-2.74333"
"45.50000";"-2.73375"
"46.00000";"-2.72417"
"46.50000";"-2.71417"
"47.00000";"-2.70458"
"47.50000";"-2.69458"
"48.00000";"-2.68583"
"48.50000";"-2.67667"
"49.00000";"-2.66792"
"49.50000";"-2.65917"
"50.00000";"-2.65083"
"50.50000";"-2.64333"
"51.00000";"-2.63542"
"51.50000";"-2.62833"
"52.00000";"-2.62042"
"52.50000";"-2.61292"
"53.00000";"-2.60500"
"53.50000";"-2.59792"
"54.00000";"-2.59125"
"54.50000";"-2.58500"
"55.00000";"-2.57917"
"55.50000";"-2.57292"
"56.00000";"-2.56667"
"56.50000";"-2.56083"
"57.00000";"-2.55583"
"57.50000";"-2.55167"
"58.00000";"-2.54750"
"58.50000";"-2.54292"
"59.00000";"-2.53792"
"59.50000";"-2.53250"
"60.00000";"-2.52750"
