"400N1_1#004"
""
"Time (s)";"Current (uA)"
"0.00000";"-12.28625"
"0.50000";"-11.53917"
"1.00000";"-10.87500"
"1.50000";"-10.32000"
"2.00000";"-9.84583"
"2.50000";"-9.43625"
"3.00000";"-9.07875"
"3.50000";"-8.76250"
"4.00000";"-8.48208"
"4.50000";"-8.22833"
"5.00000";"-7.99750"
"5.50000";"-7.78583"
"6.00000";"-7.59250"
"6.50000";"-7.41333"
"7.00000";"-7.24500"
"7.50000";"-7.08833"
"8.00000";"-6.94333"
"8.50000";"-6.80792"
"9.00000";"-6.68125"
"9.50000";"-6.56167"
"10.00000";"-6.45083"
"10.50000";"-6.34542"
"11.00000";"-6.24333"
"11.50000";"-6.14583"
"12.00000";"-6.05292"
"12.50000";"-5.96750"
"13.00000";"-5.88583"
"13.50000";"-5.80917"
"14.00000";"-5.73542"
"14.50000";"-5.66500"
"15.00000";"-5.59708"
"15.50000";"-5.53167"
"16.00000";"-5.46833"
"16.50000";"-5.40792"
"17.00000";"-5.35083"
"17.50000";"-5.29750"
"18.00000";"-5.24625"
"18.50000";"-5.19708"
"19.00000";"-5.14958"
"19.50000";"-5.10500"
"20.00000";"-5.06208"
"20.50000";"-5.01958"
"21.00000";"-4.97625"
"21.50000";"-4.93375"
"22.00000";"-4.90042"
"22.50000";"-4.88958"
"23.00000";"-4.85250"
"23.50000";"-4.80875"
"24.00000";"-4.74625"
"24.50000";"-4.71208"
"25.00000";"-4.68000"
"25.50000";"-4.64833"
"26.00000";"-4.61750"
"26.50000";"-4.58708"
"27.00000";"-4.55792"
"27.50000";"-4.52958"
"28.00000";"-4.50167"
"28.50000";"-4.47458"
"29.00000";"-4.44875"
"29.50000";"-4.42375"
"30.00000";"-4.39917"
"30.50000";"-4.37542"
"31.00000";"-4.35250"
"31.50000";"-4.33167"
"32.00000";"-4.31125"
"32.50000";"-4.29083"
"33.00000";"-4.26958"
"33.50000";"-4.24875"
"34.00000";"-4.22833"
"34.50000";"-4.20792"
"35.00000";"-4.18792"
"35.50000";"-4.16833"
"36.00000";"-4.14958"
"36.50000";"-4.13125"
"37.00000";"-4.11375"
"37.50000";"-4.09625"
"38.00000";"-4.07958"
"38.50000";"-4.06333"
"39.00000";"-4.04792"
"39.50000";"-4.03250"
"40.00000";"-4.01792"
"40.50000";"-4.00375"
"41.00000";"-3.99000"
"41.50000";"-3.97667"
"42.00000";"-3.96542"
"42.50000";"-3.95417"
"43.00000";"-3.94292"
"43.50000";"-3.93000"
"44.00000";"-3.91792"
"44.50000";"-3.91500"
"45.00000";"-3.91000"
"45.50000";"-3.90458"
"46.00000";"-3.88958"
"46.50000";"-3.87750"
"47.00000";"-3.86625"
"47.50000";"-3.85625"
"48.00000";"-3.84625"
"48.50000";"-3.83625"
"49.00000";"-3.82708"
"49.50000";"-3.81875"
"50.00000";"-3.81083"
"50.50000";"-3.80292"
"51.00000";"-3.79500"
"51.50000";"-3.78708"
"52.00000";"-3.77958"
"52.50000";"-3.77208"
"53.00000";"-3.76542"
"53.50000";"-3.75875"
"54.00000";"-3.75250"
"54.50000";"-3.74667"
"55.00000";"-3.74083"
"55.50000";"-3.73542"
"56.00000";"-3.73042"
"56.50000";"-3.73375"
"57.00000";"-3.73417"
"57.50000";"-3.73417"
"58.00000";"-3.72625"
"58.50000";"-3.72167"
"59.00000";"-3.71750"
"59.50000";"-3.71375"
"60.00000";"-3.71000"
