"400N1_1#003"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.77038"
"0.50000";"-0.72525"
"1.00000";"-0.68529"
"1.50000";"-0.65142"
"2.00000";"-0.62233"
"2.50000";"-0.59667"
"3.00000";"-0.57479"
"3.50000";"-0.55579"
"4.00000";"-0.53867"
"4.50000";"-0.52292"
"5.00000";"-0.50842"
"5.50000";"-0.49538"
"6.00000";"-0.48329"
"6.50000";"-0.47308"
"7.00000";"-0.46262"
"7.50000";"-0.45296"
"8.00000";"-0.44292"
"8.50000";"-0.43479"
"9.00000";"-0.42708"
"9.50000";"-0.41979"
"10.00000";"-0.41242"
"10.50000";"-0.40575"
"11.00000";"-0.39917"
"11.50000";"-0.39350"
"12.00000";"-0.38771"
"12.50000";"-0.38250"
"13.00000";"-0.37717"
"13.50000";"-0.37238"
"14.00000";"-0.36767"
"14.50000";"-0.36338"
"15.00000";"-0.35921"
"15.50000";"-0.35512"
"16.00000";"-0.35100"
"16.50000";"-0.34712"
"17.00000";"-0.34483"
"17.50000";"-0.34208"
"18.00000";"-0.33879"
"18.50000";"-0.33433"
"19.00000";"-0.33054"
"19.50000";"-0.32742"
"20.00000";"-0.32479"
"20.50000";"-0.32237"
"21.00000";"-0.32013"
"21.50000";"-0.31763"
"22.00000";"-0.31662"
"22.50000";"-0.31404"
"23.00000";"-0.31217"
"23.50000";"-0.30842"
"24.00000";"-0.30608"
"24.50000";"-0.30308"
"25.00000";"-0.30083"
"25.50000";"-0.29900"
"26.00000";"-0.29762"
"26.50000";"-0.29596"
"27.00000";"-0.29408"
"27.50000";"-0.29204"
"28.00000";"-0.29037"
"28.50000";"-0.28892"
"29.00000";"-0.28746"
"29.50000";"-0.28575"
"30.00000";"-0.28437"
"30.50000";"-0.28283"
"31.00000";"-0.28158"
"31.50000";"-0.28004"
"32.00000";"-0.27875"
"32.50000";"-0.27721"
"33.00000";"-0.27588"
"33.50000";"-0.27458"
"34.00000";"-0.27367"
"34.50000";"-0.27254"
"35.00000";"-0.27142"
"35.50000";"-0.27017"
"36.00000";"-0.27042"
"36.50000";"-0.27004"
"37.00000";"-0.26958"
"37.50000";"-0.26750"
"38.00000";"-0.26608"
"38.50000";"-0.26508"
"39.00000";"-0.26442"
"39.50000";"-0.26388"
"40.00000";"-0.26308"
"40.50000";"-0.26267"
"41.00000";"-0.26208"
"41.50000";"-0.26142"
"42.00000";"-0.26046"
"42.50000";"-0.25938"
"43.00000";"-0.25863"
"43.50000";"-0.25792"
"44.00000";"-0.25725"
"44.50000";"-0.25654"
"45.00000";"-0.25592"
"45.50000";"-0.25579"
"46.00000";"-0.25567"
"46.50000";"-0.25525"
"47.00000";"-0.25454"
"47.50000";"-0.25375"
"48.00000";"-0.25313"
"48.50000";"-0.25258"
"49.00000";"-0.25212"
"49.50000";"-0.25217"
"50.00000";"-0.25208"
"50.50000";"-0.25175"
"51.00000";"-0.25108"
"51.50000";"-0.25058"
"52.00000";"-0.25029"
"52.50000";"-0.25008"
"53.00000";"-0.25008"
"53.50000";"-0.25000"
"54.00000";"-0.24971"
"54.50000";"-0.24921"
"55.00000";"-0.24888"
"55.50000";"-0.24879"
"56.00000";"-0.24854"
"56.50000";"-0.24825"
"57.00000";"-0.24775"
"57.50000";"-0.24750"
"58.00000";"-0.24775"
"58.50000";"-0.24787"
"59.00000";"-0.24775"
"59.50000";"-0.24737"
"60.00000";"-0.24737"
