"400N1_1#005"
""
"Time (s)";"Current (uA)"
"0.00000";"-46.41250"
"0.50000";"-43.35417"
"1.00000";"-40.65833"
"1.50000";"-38.44583"
"2.00000";"-36.58750"
"2.50000";"-34.99167"
"3.00000";"-33.59584"
"3.50000";"-32.36250"
"4.00000";"-31.26250"
"4.50000";"-30.27083"
"5.00000";"-29.37500"
"5.50000";"-28.56250"
"6.00000";"-27.81667"
"6.50000";"-27.13333"
"7.00000";"-26.50000"
"7.50000";"-25.90833"
"8.00000";"-25.37083"
"8.50000";"-24.87083"
"9.00000";"-24.40417"
"9.50000";"-23.95417"
"10.00000";"-23.52917"
"10.50000";"-23.13750"
"11.00000";"-22.76250"
"11.50000";"-22.41250"
"12.00000";"-22.07083"
"12.50000";"-21.75417"
"13.00000";"-21.44583"
"13.50000";"-21.15833"
"14.00000";"-20.87917"
"14.50000";"-20.61250"
"15.00000";"-20.35833"
"15.50000";"-20.11250"
"16.00000";"-19.88333"
"16.50000";"-19.66250"
"17.00000";"-19.45000"
"17.50000";"-19.24167"
"18.00000";"-19.04167"
"18.50000";"-18.85000"
"19.00000";"-18.66667"
"19.50000";"-18.48750"
"20.00000";"-18.31667"
"20.50000";"-18.15000"
"21.00000";"-17.98750"
"21.50000";"-17.82917"
"22.00000";"-17.67500"
"22.50000";"-17.53750"
"23.00000";"-17.38000"
"23.50000";"-17.23417"
"24.00000";"-17.08333"
"24.50000";"-16.96250"
"25.00000";"-16.84167"
"25.50000";"-16.72583"
"26.00000";"-16.61500"
"26.50000";"-16.50917"
"27.00000";"-16.40542"
"27.50000";"-16.30292"
"28.00000";"-16.20125"
"28.50000";"-16.10292"
"29.00000";"-16.00750"
"29.50000";"-15.91458"
"30.00000";"-15.82458"
"30.50000";"-15.73667"
"31.00000";"-15.65167"
"31.50000";"-15.56875"
"32.00000";"-15.48875"
"32.50000";"-15.41667"
"33.00000";"-15.34708"
"33.50000";"-15.27833"
"34.00000";"-15.20625"
"34.50000";"-15.13542"
"35.00000";"-15.06625"
"35.50000";"-14.99708"
"36.00000";"-14.92958"
"36.50000";"-14.86458"
"37.00000";"-14.80167"
"37.50000";"-14.74000"
"38.00000";"-14.68000"
"38.50000";"-14.62125"
"39.00000";"-14.56542"
"39.50000";"-14.51792"
"40.00000";"-14.47792"
"40.50000";"-14.43917"
"41.00000";"-14.39208"
"41.50000";"-14.33917"
"42.00000";"-14.28625"
"42.50000";"-14.23792"
"43.00000";"-14.19250"
"43.50000";"-14.14875"
"44.00000";"-14.10750"
"44.50000";"-14.06958"
"45.00000";"-14.04667"
"45.50000";"-14.01958"
"46.00000";"-13.99375"
"46.50000";"-13.95417"
"47.00000";"-13.91750"
"47.50000";"-13.87625"
"48.00000";"-13.83750"
"48.50000";"-13.80000"
"49.00000";"-13.76667"
"49.50000";"-13.73375"
"50.00000";"-13.70208"
"50.50000";"-13.67083"
"51.00000";"-13.64125"
"51.50000";"-13.61292"
"52.00000";"-13.58583"
"52.50000";"-13.55833"
"53.00000";"-13.53167"
"53.50000";"-13.50583"
"54.00000";"-13.49458"
"54.50000";"-13.48167"
"55.00000";"-13.47042"
"55.50000";"-13.44458"
"56.00000";"-13.42042"
"56.50000";"-13.39458"
"57.00000";"-13.37000"
"57.50000";"-13.34583"
"58.00000";"-13.32333"
"58.50000";"-13.30167"
"59.00000";"-13.28125"
"59.50000";"-13.26042"
"60.00000";"-13.24000"
