"negativo1_30mM"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.12177"
"0.50000";"-0.11426"
"1.00000";"-0.10858"
"1.50000";"-0.10320"
"2.00000";"-0.09889"
"2.50000";"-0.09331"
"3.00000";"-0.08900"
"3.50000";"-0.08465"
"4.00000";"-0.08163"
"4.50000";"-0.07929"
"5.00000";"-0.07698"
"5.50000";"-0.07472"
"6.00000";"-0.07240"
"6.50000";"-0.07102"
"7.00000";"-0.06951"
"7.50000";"-0.06800"
"8.00000";"-0.06628"
"8.50000";"-0.06486"
"9.00000";"-0.06411"
"9.50000";"-0.06294"
"10.00000";"-0.06193"
"10.50000";"-0.06090"
"11.00000";"-0.06005"
"11.50000";"-0.05925"
"12.00000";"-0.05815"
"12.50000";"-0.05740"
"13.00000";"-0.05650"
"13.50000";"-0.05602"
"14.00000";"-0.05533"
"14.50000";"-0.05478"
"15.00000";"-0.05388"
"15.50000";"-0.05318"
"16.00000";"-0.05246"
"16.50000";"-0.05182"
"17.00000";"-0.05105"
"17.50000";"-0.05087"
"18.00000";"-0.05019"
"18.50000";"-0.05219"
"19.00000";"-0.05149"
"19.50000";"-0.05228"
"20.00000";"-0.04907"
"20.50000";"-0.04924"
"21.00000";"-0.04770"
"21.50000";"-0.04773"
"22.00000";"-0.04670"
"22.50000";"-0.04612"
"23.00000";"-0.04616"
"23.50000";"-0.04605"
"24.00000";"-0.04575"
"24.50000";"-0.04491"
"25.00000";"-0.04532"
"25.50000";"-0.04515"
"26.00000";"-0.04524"
"26.50000";"-0.04558"
"27.00000";"-0.04545"
"27.50000";"-0.04492"
"28.00000";"-0.04321"
"28.50000";"-0.04292"
"29.00000";"-0.04308"
"29.50000";"-0.04288"
"30.00000";"-0.04256"
"30.50000";"-0.04192"
"31.00000";"-0.04212"
"31.50000";"-0.04193"
"32.00000";"-0.04210"
"32.50000";"-0.04159"
"33.00000";"-0.04129"
"33.50000";"-0.04083"
"34.00000";"-0.04046"
"34.50000";"-0.04075"
"35.00000";"-0.04163"
"35.50000";"-0.04173"
"36.00000";"-0.04134"
"36.50000";"-0.04025"
"37.00000";"-0.04015"
"37.50000";"-0.03988"
"38.00000";"-0.03981"
"38.50000";"-0.03967"
"39.00000";"-0.03957"
"39.50000";"-0.03958"
"40.00000";"-0.03928"
"40.50000";"-0.04028"
"41.00000";"-0.03991"
"41.50000";"-0.03983"
"42.00000";"-0.03884"
"42.50000";"-0.03910"
"43.00000";"-0.03897"
"43.50000";"-0.03881"
"44.00000";"-0.03840"
"44.50000";"-0.03869"
"45.00000";"-0.03851"
"45.50000";"-0.03880"
"46.00000";"-0.03860"
"46.50000";"-0.03842"
"47.00000";"-0.03796"
"47.50000";"-0.03767"
"48.00000";"-0.03769"
"48.50000";"-0.03769"
"49.00000";"-0.03760"
"49.50000";"-0.03748"
"50.00000";"-0.03755"
"50.50000";"-0.03760"
"51.00000";"-0.03757"
"51.50000";"-0.03754"
"52.00000";"-0.03758"
"52.50000";"-0.03760"
"53.00000";"-0.03753"
"53.50000";"-0.03741"
"54.00000";"-0.03749"
"54.50000";"-0.03744"
"55.00000";"-0.03777"
"55.50000";"-0.03784"
"56.00000";"-0.03783"
"56.50000";"-0.03753"
"57.00000";"-0.03761"
"57.50000";"-0.03777"
"58.00000";"-0.03797"
"58.50000";"-0.03786"
"59.00000";"-0.03782"
"59.50000";"-0.03769"
"60.00000";"-0.03758"
