"positivo1_150mM"
""
"Time (s)";"Current (uA)"
"0.00000";"-16.90000"
"0.50000";"-15.83333"
"1.00000";"-14.89167"
"1.50000";"-14.06792"
"2.00000";"-13.37208"
"2.50000";"-12.76875"
"3.00000";"-12.28208"
"3.50000";"-11.84958"
"4.00000";"-11.46125"
"4.50000";"-11.11042"
"5.00000";"-10.78917"
"5.50000";"-10.49750"
"6.00000";"-10.23125"
"6.50000";"-9.98542"
"7.00000";"-9.75708"
"7.50000";"-9.54458"
"8.00000";"-9.34667"
"8.50000";"-9.16167"
"9.00000";"-8.98917"
"9.50000";"-8.82708"
"10.00000";"-8.67417"
"10.50000";"-8.52875"
"11.00000";"-8.39208"
"11.50000";"-8.26208"
"12.00000";"-8.13833"
"12.50000";"-8.02042"
"13.00000";"-7.90833"
"13.50000";"-7.80167"
"14.00000";"-7.70000"
"14.50000";"-7.60292"
"15.00000";"-7.51000"
"15.50000";"-7.42125"
"16.00000";"-7.33542"
"16.50000";"-7.25292"
"17.00000";"-7.17208"
"17.50000";"-7.09542"
"18.00000";"-7.02167"
"18.50000";"-6.95125"
"19.00000";"-6.88333"
"19.50000";"-6.81875"
"20.00000";"-6.75542"
"20.50000";"-6.69458"
"21.00000";"-6.63500"
"21.50000";"-6.57833"
"22.00000";"-6.52250"
"22.50000";"-6.46875"
"23.00000";"-6.41833"
"23.50000";"-6.37000"
"24.00000";"-6.32292"
"24.50000";"-6.27583"
"25.00000";"-6.23000"
"25.50000";"-6.18625"
"26.00000";"-6.14333"
"26.50000";"-6.10167"
"27.00000";"-6.06042"
"27.50000";"-6.02083"
"28.00000";"-5.98250"
"28.50000";"-5.94542"
"29.00000";"-5.90917"
"29.50000";"-5.87375"
"30.00000";"-5.83958"
"30.50000";"-5.80625"
"31.00000";"-5.77417"
"31.50000";"-5.74292"
"32.00000";"-5.71250"
"32.50000";"-5.68292"
"33.00000";"-5.65458"
"33.50000";"-5.62708"
"34.00000";"-5.60125"
"34.50000";"-5.57583"
"35.00000";"-5.55167"
"35.50000";"-5.52750"
"36.00000";"-5.50417"
"36.50000";"-5.48083"
"37.00000";"-5.45792"
"37.50000";"-5.43625"
"38.00000";"-5.41500"
"38.50000";"-5.39500"
"39.00000";"-5.37417"
"39.50000";"-5.35500"
"40.00000";"-5.33583"
"40.50000";"-5.31750"
"41.00000";"-5.29917"
"41.50000";"-5.28167"
"42.00000";"-5.26417"
"42.50000";"-5.24708"
"43.00000";"-5.23042"
"43.50000";"-5.21375"
"44.00000";"-5.19792"
"44.50000";"-5.18125"
"45.00000";"-5.16583"
"45.50000";"-5.14958"
"46.00000";"-5.13458"
"46.50000";"-5.12042"
"47.00000";"-5.10708"
"47.50000";"-5.09333"
"48.00000";"-5.08000"
"48.50000";"-5.06667"
"49.00000";"-5.05292"
"49.50000";"-5.03875"
"50.00000";"-5.02500"
"50.50000";"-5.01208"
"51.00000";"-4.99917"
"51.50000";"-4.98583"
"52.00000";"-4.97375"
"52.50000";"-4.96167"
"53.00000";"-4.95042"
"53.50000";"-4.93792"
"54.00000";"-4.92625"
"54.50000";"-4.91458"
"55.00000";"-4.90417"
"55.50000";"-4.89417"
"56.00000";"-4.88458"
"56.50000";"-4.87458"
"57.00000";"-4.86542"
"57.50000";"-4.85583"
"58.00000";"-4.84750"
"58.50000";"-4.83833"
"59.00000";"-4.83042"
"59.50000";"-4.82167"
"60.00000";"-4.81250"
