"400N1_1#003"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.59088"
"0.50000";"-0.55592"
"1.00000";"-0.52496"
"1.50000";"-0.49908"
"2.00000";"-0.47700"
"2.50000";"-0.45742"
"3.00000";"-0.44029"
"3.50000";"-0.42483"
"4.00000";"-0.41129"
"4.50000";"-0.39917"
"5.00000";"-0.38842"
"5.50000";"-0.37858"
"6.00000";"-0.36929"
"6.50000";"-0.36096"
"7.00000";"-0.35283"
"7.50000";"-0.34533"
"8.00000";"-0.33796"
"8.50000";"-0.33146"
"9.00000";"-0.32537"
"9.50000";"-0.31967"
"10.00000";"-0.31433"
"10.50000";"-0.30917"
"11.00000";"-0.30442"
"11.50000";"-0.30004"
"12.00000";"-0.29604"
"12.50000";"-0.29212"
"13.00000";"-0.28808"
"13.50000";"-0.28429"
"14.00000";"-0.28083"
"14.50000";"-0.27762"
"15.00000";"-0.27467"
"15.50000";"-0.27183"
"16.00000";"-0.26913"
"16.50000";"-0.26633"
"17.00000";"-0.26350"
"17.50000";"-0.26096"
"18.00000";"-0.25837"
"18.50000";"-0.25613"
"19.00000";"-0.25379"
"19.50000";"-0.25196"
"20.00000";"-0.24992"
"20.50000";"-0.24813"
"21.00000";"-0.24617"
"21.50000";"-0.24433"
"22.00000";"-0.24254"
"22.50000";"-0.24079"
"23.00000";"-0.23925"
"23.50000";"-0.23775"
"24.00000";"-0.23642"
"24.50000";"-0.23492"
"25.00000";"-0.23367"
"25.50000";"-0.23233"
"26.00000";"-0.23125"
"26.50000";"-0.23008"
"27.00000";"-0.22896"
"27.50000";"-0.22787"
"28.00000";"-0.22658"
"28.50000";"-0.22567"
"29.00000";"-0.22467"
"29.50000";"-0.22383"
"30.00000";"-0.22271"
"30.50000";"-0.22179"
"31.00000";"-0.22100"
"31.50000";"-0.22038"
"32.00000";"-0.21987"
"32.50000";"-0.21912"
"33.00000";"-0.21842"
"33.50000";"-0.21771"
"34.00000";"-0.21712"
"34.50000";"-0.21658"
"35.00000";"-0.21625"
"35.50000";"-0.21583"
"36.00000";"-0.21537"
"36.50000";"-0.21483"
"37.00000";"-0.21454"
"37.50000";"-0.21442"
"38.00000";"-0.21429"
"38.50000";"-0.21412"
"39.00000";"-0.21425"
"39.50000";"-0.21392"
"40.00000";"-0.21392"
"40.50000";"-0.21362"
"41.00000";"-0.21354"
"41.50000";"-0.21342"
"42.00000";"-0.21338"
"42.50000";"-0.21346"
"43.00000";"-0.21362"
"43.50000";"-0.21367"
"44.00000";"-0.21387"
"44.50000";"-0.21404"
"45.00000";"-0.21412"
"45.50000";"-0.21417"
"46.00000";"-0.21421"
"46.50000";"-0.21446"
"47.00000";"-0.21483"
"47.50000";"-0.21517"
"48.00000";"-0.21542"
"48.50000";"-0.21563"
"49.00000";"-0.21579"
"49.50000";"-0.21596"
"50.00000";"-0.21621"
"50.50000";"-0.21646"
"51.00000";"-0.21679"
"51.50000";"-0.21700"
"52.00000";"-0.21746"
"52.50000";"-0.21788"
"53.00000";"-0.21846"
"53.50000";"-0.21875"
"54.00000";"-0.21896"
"54.50000";"-0.21917"
"55.00000";"-0.21946"
"55.50000";"-0.21996"
"56.00000";"-0.22029"
"56.50000";"-0.22067"
"57.00000";"-0.22113"
"57.50000";"-0.22150"
"58.00000";"-0.22204"
"58.50000";"-0.22258"
"59.00000";"-0.22354"
"59.50000";"-0.22421"
"60.00000";"-0.22463"
