"400N1_1#001"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.31962"
"0.50000";"-0.30175"
"1.00000";"-0.28846"
"1.50000";"-0.27171"
"2.00000";"-0.25921"
"2.50000";"-0.24425"
"3.00000";"-0.23558"
"3.50000";"-0.22771"
"4.00000";"-0.22058"
"4.50000";"-0.21483"
"5.00000";"-0.20921"
"5.50000";"-0.20392"
"6.00000";"-0.20692"
"6.50000";"-0.20333"
"7.00000";"-0.20008"
"7.50000";"-0.18833"
"8.00000";"-0.18421"
"8.50000";"-0.18029"
"9.00000";"-0.17625"
"9.50000";"-0.17275"
"10.00000";"-0.17000"
"10.50000";"-0.16772"
"11.00000";"-0.16586"
"11.50000";"-0.16332"
"12.00000";"-0.16139"
"12.50000";"-0.15830"
"13.00000";"-0.15677"
"13.50000";"-0.15450"
"14.00000";"-0.15287"
"14.50000";"-0.15053"
"15.00000";"-0.14891"
"15.50000";"-0.14732"
"16.00000";"-0.14603"
"16.50000";"-0.14453"
"17.00000";"-0.14402"
"17.50000";"-0.14380"
"18.00000";"-0.14296"
"18.50000";"-0.14121"
"19.00000";"-0.13902"
"19.50000";"-0.13768"
"20.00000";"-0.13673"
"20.50000";"-0.13583"
"21.00000";"-0.13512"
"21.50000";"-0.13411"
"22.00000";"-0.13331"
"22.50000";"-0.13223"
"23.00000";"-0.13365"
"23.50000";"-0.13311"
"24.00000";"-0.13286"
"24.50000";"-0.13010"
"25.00000";"-0.12934"
"25.50000";"-0.12834"
"26.00000";"-0.12813"
"26.50000";"-0.12912"
"27.00000";"-0.12909"
"27.50000";"-0.12853"
"28.00000";"-0.12711"
"28.50000";"-0.12686"
"29.00000";"-0.12684"
"29.50000";"-0.13948"
"30.00000";"-0.13872"
"30.50000";"-0.14362"
"31.00000";"-0.13015"
"31.50000";"-0.13040"
"32.00000";"-0.12473"
"32.50000";"-0.12467"
"33.00000";"-0.12411"
"33.50000";"-0.12360"
"34.00000";"-0.12293"
"34.50000";"-0.12256"
"35.00000";"-0.12187"
"35.50000";"-0.12129"
"36.00000";"-0.12107"
"36.50000";"-0.12153"
"37.00000";"-0.12191"
"37.50000";"-0.12163"
"38.00000";"-0.12127"
"38.50000";"-0.12084"
"39.00000";"-0.12077"
"39.50000";"-0.12065"
"40.00000";"-0.12093"
"40.50000";"-0.12095"
"41.00000";"-0.12075"
"41.50000";"-0.11996"
"42.00000";"-0.11970"
"42.50000";"-0.11957"
"43.00000";"-0.11998"
"43.50000";"-0.11988"
"44.00000";"-0.12015"
"44.50000";"-0.12042"
"45.00000";"-0.12060"
"45.50000";"-0.12070"
"46.00000";"-0.12064"
"46.50000";"-0.12086"
"47.00000";"-0.12115"
"47.50000";"-0.12108"
"48.00000";"-0.12125"
"48.50000";"-0.12113"
"49.00000";"-0.12158"
"49.50000";"-0.12195"
"50.00000";"-0.12224"
"50.50000";"-0.12243"
"51.00000";"-0.12265"
"51.50000";"-0.12320"
"52.00000";"-0.12358"
"52.50000";"-0.12420"
"53.00000";"-0.12475"
"53.50000";"-0.12539"
"54.00000";"-0.12573"
"54.50000";"-0.12622"
"55.00000";"-0.12655"
"55.50000";"-0.12732"
"56.00000";"-0.12772"
"56.50000";"-0.12839"
"57.00000";"-0.12867"
"57.50000";"-0.12910"
"58.00000";"-0.12944"
"58.50000";"-0.12997"
"59.00000";"-0.13045"
"59.50000";"-0.13095"
"60.00000";"-0.13131"
