"400N1_1#006"
""
"Time (s)";"Current (uA)"
"0.00000";"-47.35000"
"0.50000";"-44.27083"
"1.00000";"-41.55000"
"1.50000";"-39.31667"
"2.00000";"-37.42916"
"2.50000";"-35.81667"
"3.00000";"-34.41667"
"3.50000";"-33.17916"
"4.00000";"-32.07500"
"4.50000";"-31.06250"
"5.00000";"-30.15417"
"5.50000";"-29.32500"
"6.00000";"-28.57917"
"6.50000";"-27.88750"
"7.00000";"-27.24583"
"7.50000";"-26.64583"
"8.00000";"-26.08750"
"8.50000";"-25.57916"
"9.00000";"-25.10000"
"9.50000";"-24.65417"
"10.00000";"-24.22083"
"10.50000";"-23.82083"
"11.00000";"-23.43333"
"11.50000";"-23.07917"
"12.00000";"-22.72917"
"12.50000";"-22.40833"
"13.00000";"-22.09167"
"13.50000";"-21.79583"
"14.00000";"-21.50417"
"14.50000";"-21.22917"
"15.00000";"-20.97083"
"15.50000";"-20.72500"
"16.00000";"-20.49167"
"16.50000";"-20.26667"
"17.00000";"-20.05000"
"17.50000";"-19.83750"
"18.00000";"-19.63333"
"18.50000";"-19.43333"
"19.00000";"-19.24583"
"19.50000";"-19.05833"
"20.00000";"-18.88750"
"20.50000";"-18.71667"
"21.00000";"-18.55417"
"21.50000";"-18.38750"
"22.00000";"-18.23750"
"22.50000";"-18.09167"
"23.00000";"-17.95417"
"23.50000";"-17.81250"
"24.00000";"-17.66042"
"24.50000";"-17.51667"
"25.00000";"-17.37958"
"25.50000";"-17.26625"
"26.00000";"-17.15167"
"26.50000";"-17.03833"
"27.00000";"-16.92500"
"27.50000";"-16.81417"
"28.00000";"-16.70833"
"28.50000";"-16.60875"
"29.00000";"-16.51208"
"29.50000";"-16.41542"
"30.00000";"-16.31792"
"30.50000";"-16.22333"
"31.00000";"-16.13333"
"31.50000";"-16.04583"
"32.00000";"-15.96125"
"32.50000";"-15.87750"
"33.00000";"-15.79542"
"33.50000";"-15.71542"
"34.00000";"-15.63833"
"34.50000";"-15.56375"
"35.00000";"-15.49958"
"35.50000";"-15.43375"
"36.00000";"-15.37083"
"36.50000";"-15.30042"
"37.00000";"-15.23458"
"37.50000";"-15.16958"
"38.00000";"-15.10792"
"38.50000";"-15.04875"
"39.00000";"-14.99125"
"39.50000";"-14.94000"
"40.00000";"-14.88875"
"40.50000";"-14.83792"
"41.00000";"-14.78375"
"41.50000";"-14.73333"
"42.00000";"-14.68750"
"42.50000";"-14.64458"
"43.00000";"-14.60583"
"43.50000";"-14.57042"
"44.00000";"-14.53917"
"44.50000";"-14.51125"
"45.00000";"-14.48792"
"45.50000";"-14.46833"
"46.00000";"-14.45083"
"46.50000";"-14.43417"
"47.00000";"-14.41833"
"47.50000";"-14.40417"
"48.00000";"-14.39542"
"48.50000";"-14.38833"
"49.00000";"-14.38542"
"49.50000";"-14.38208"
"50.00000";"-14.38875"
"50.50000";"-14.40625"
"51.00000";"-14.42667"
"51.50000";"-14.44833"
"52.00000";"-14.46083"
"52.50000";"-14.47542"
"53.00000";"-14.48792"
"53.50000";"-14.50875"
"54.00000";"-14.53250"
"54.50000";"-14.55750"
"55.00000";"-14.58125"
"55.50000";"-14.60792"
"56.00000";"-14.63833"
"56.50000";"-14.67250"
"57.00000";"-14.70958"
"57.50000";"-14.76500"
"58.00000";"-14.81500"
"58.50000";"-14.86542"
"59.00000";"-14.89583"
"59.50000";"-14.93042"
"60.00000";"-14.96250"
