"400N1_1#010"
""
"Time (s)";"Current (uA)"
"0.00000";"-54.61250"
"0.50000";"-51.07917"
"1.00000";"-47.95833"
"1.50000";"-45.38333"
"2.00000";"-43.19167"
"2.50000";"-41.30833"
"3.00000";"-39.66667"
"3.50000";"-38.22917"
"4.00000";"-36.94584"
"4.50000";"-35.79167"
"5.00000";"-34.74166"
"5.50000";"-33.78750"
"6.00000";"-32.91250"
"6.50000";"-32.10417"
"7.00000";"-31.36250"
"7.50000";"-30.67500"
"8.00000";"-30.03333"
"8.50000";"-29.43333"
"9.00000";"-28.87083"
"9.50000";"-28.35000"
"10.00000";"-27.85833"
"10.50000";"-27.40000"
"11.00000";"-26.96667"
"11.50000";"-26.55417"
"12.00000";"-26.16250"
"12.50000";"-25.79167"
"13.00000";"-25.44167"
"13.50000";"-25.10833"
"14.00000";"-24.79167"
"14.50000";"-24.49583"
"15.00000";"-24.20833"
"15.50000";"-23.92917"
"16.00000";"-23.65417"
"16.50000";"-23.39583"
"17.00000";"-23.15000"
"17.50000";"-22.91667"
"18.00000";"-22.69167"
"18.50000";"-22.47917"
"19.00000";"-22.27083"
"19.50000";"-22.06667"
"20.00000";"-21.86667"
"20.50000";"-21.68333"
"21.00000";"-21.50833"
"21.50000";"-21.33750"
"22.00000";"-21.16667"
"22.50000";"-21.00417"
"23.00000";"-20.85000"
"23.50000";"-20.70417"
"24.00000";"-20.55833"
"24.50000";"-20.42083"
"25.00000";"-20.28750"
"25.50000";"-20.16250"
"26.00000";"-20.03750"
"26.50000";"-19.91667"
"27.00000";"-19.80000"
"27.50000";"-19.68750"
"28.00000";"-19.57917"
"28.50000";"-19.47500"
"29.00000";"-19.37500"
"29.50000";"-19.27500"
"30.00000";"-19.17917"
"30.50000";"-19.08333"
"31.00000";"-18.98750"
"31.50000";"-18.90417"
"32.00000";"-18.82083"
"32.50000";"-18.74583"
"33.00000";"-18.66250"
"33.50000";"-18.59167"
"34.00000";"-18.52083"
"34.50000";"-18.45833"
"35.00000";"-18.39166"
"35.50000";"-18.33333"
"36.00000";"-18.27083"
"36.50000";"-18.21667"
"37.00000";"-18.15833"
"37.50000";"-18.10417"
"38.00000";"-18.04583"
"38.50000";"-17.99583"
"39.00000";"-17.94167"
"39.50000";"-17.88750"
"40.00000";"-17.83333"
"40.50000";"-17.77167"
"41.00000";"-17.71917"
"41.50000";"-17.66458"
"42.00000";"-17.62333"
"42.50000";"-17.57875"
"43.00000";"-17.53333"
"43.50000";"-17.48875"
"44.00000";"-17.44625"
"44.50000";"-17.40625"
"45.00000";"-17.36750"
"45.50000";"-17.33000"
"46.00000";"-17.29333"
"46.50000";"-17.25792"
"47.00000";"-17.22250"
"47.50000";"-17.18958"
"48.00000";"-17.15750"
"48.50000";"-17.12667"
"49.00000";"-17.09458"
"49.50000";"-17.06208"
"50.00000";"-17.03042"
"50.50000";"-16.99917"
"51.00000";"-16.96875"
"51.50000";"-16.93750"
"52.00000";"-16.90667"
"52.50000";"-16.87667"
"53.00000";"-16.84708"
"53.50000";"-16.81750"
"54.00000";"-16.78834"
"54.50000";"-16.75958"
"55.00000";"-16.73125"
"55.50000";"-16.70292"
"56.00000";"-16.67458"
"56.50000";"-16.64708"
"57.00000";"-16.62000"
"57.50000";"-16.59375"
"58.00000";"-16.56708"
"58.50000";"-16.54041"
"59.00000";"-16.51375"
"59.50000";"-16.48833"
"60.00000";"-16.46375"
