"400N1_1#001"
""
"Potential (V)";"Current (uA)"
"-0.10000";"-0.02094"
"-0.09800";"-0.01255"
"-0.09600";"-0.00674"
"-0.09400";"-0.00343"
"-0.09200";"-0.00102"
"-0.09000";"0.00103"
"-0.08800";"0.00296"
"-0.08600";"0.00528"
"-0.08400";"0.00758"
"-0.08200";"0.01001"
"-0.08000";"0.01170"
"-0.07800";"0.01405"
"-0.07600";"0.01646"
"-0.07400";"0.01954"
"-0.07200";"0.02265"
"-0.07000";"0.02518"
"-0.06800";"0.02825"
"-0.06600";"0.03150"
"-0.06400";"0.03558"
"-0.06200";"0.03935"
"-0.06000";"0.04304"
"-0.05800";"0.04720"
"-0.05600";"0.05171"
"-0.05400";"0.05693"
"-0.05200";"0.06239"
"-0.05000";"0.06785"
"-0.04800";"0.07381"
"-0.04600";"0.08053"
"-0.04400";"0.08812"
"-0.04200";"0.09588"
"-0.04000";"0.10318"
"-0.03800";"0.11206"
"-0.03600";"0.12147"
"-0.03400";"0.13231"
"-0.03200";"0.14310"
"-0.03000";"0.15395"
"-0.02800";"0.16660"
"-0.02600";"0.18009"
"-0.02400";"0.19560"
"-0.02200";"0.21161"
"-0.02000";"0.22760"
"-0.01800";"0.24579"
"-0.01600";"0.26534"
"-0.01400";"0.28773"
"-0.01200";"0.28985"
"-0.01000";"0.30032"
"-0.00800";"0.31596"
"-0.00600";"0.35671"
"-0.00400";"0.39379"
"-0.00200";"0.43113"
"0.00000";"0.46937"
"0.00200";"0.51025"
"0.00400";"0.55317"
"0.00600";"0.59892"
"0.00800";"0.64458"
"0.01000";"0.69371"
"0.01200";"0.74758"
"0.01400";"0.80842"
"0.01600";"0.87333"
"0.01800";"0.93954"
"0.02000";"1.01188"
"0.02200";"1.09004"
"0.02400";"1.17671"
"0.02600";"1.26929"
"0.02800";"1.36458"
"0.03000";"1.46788"
"0.03200";"1.57837"
"0.03400";"1.69950"
"0.03600";"1.82929"
"0.03800";"1.96192"
"0.04000";"2.10725"
"0.04200";"2.26213"
"0.04400";"2.43292"
"0.04600";"2.61533"
"0.04800";"2.80313"
"0.05000";"3.00671"
"0.05200";"3.09642"
"0.05400";"3.23817"
"0.05600";"3.42333"
"0.05800";"3.75333"
"0.06000";"4.08250"
"0.06200";"4.41208"
"0.06400";"4.76833"
"0.06600";"5.13792"
"0.06800";"5.51000"
"0.07000";"5.90417"
"0.07200";"6.32458"
"0.07400";"6.78292"
"0.07600";"7.26958"
"0.07800";"7.76292"
"0.08000";"8.29042"
"0.08200";"8.84667"
"0.08400";"9.45917"
"0.08600";"10.10333"
"0.08800";"10.75083"
"0.09000";"11.44083"
"0.09200";"12.17333"
"0.09400";"12.98167"
"0.09600";"13.81875"
"0.09800";"14.66167"
"0.10000";"15.55167"
"0.10200";"16.50792"
"0.10400";"17.54792"
"0.10600";"18.62792"
"0.10800";"19.71625"
"0.11000";"20.85208"
"0.11200";"22.05542"
"0.11400";"23.35583"
"0.11600";"24.71917"
"0.11800";"26.09917"
"0.12000";"27.53875"
"0.12200";"29.04083"
"0.12400";"30.18708"
"0.12600";"31.36083"
"0.12800";"32.65834"
"0.13000";"34.52500"
"0.13200";"36.52500"
"0.13400";"38.55000"
"0.13600";"40.56667"
"0.13800";"42.63750"
"0.14000";"44.76250"
"0.14200";"47.00834"
"0.14400";"49.31250"
"0.14600";"51.62917"
"0.14800";"54.02916"
"0.15000";"56.49167"
"0.15200";"59.09584"
"0.15400";"61.72084"
"0.15600";"64.36250"
"0.15800";"67.07500"
"0.16000";"69.85416"
"0.16200";"72.75417"
"0.16400";"75.71249"
"0.16600";"78.69166"
"0.16800";"81.74167"
"0.17000";"84.83750"
"0.17200";"88.06666"
"0.17400";"91.35416"
"0.17600";"94.63334"
"0.17800";"98.00417"
"0.18000";"101.48750"
"0.18200";"105.20000"
"0.18400";"108.98750"
"0.18600";"112.74167"
"0.18800";"116.48333"
"0.19000";"120.27084"
"0.19200";"124.17083"
"0.19400";"128.12083"
"0.19600";"132.00000"
"0.19800";"135.93333"
"0.20000";"139.91667"
"0.20200";"144.05833"
"0.20400";"148.24167"
"0.20600";"152.36667"
"0.20800";"156.54584"
"0.21000";"160.76666"
"0.21200";"165.16667"
"0.21400";"169.65416"
"0.21600";"174.12083"
"0.21800";"178.61250"
"0.22000";"183.13750"
"0.22200";"187.83333"
"0.22400";"192.58333"
"0.22600";"197.23334"
"0.22800";"201.85417"
"0.23000";"206.55415"
"0.23200";"211.42915"
"0.23400";"216.40833"
"0.23600";"221.27083"
"0.23800";"226.14583"
"0.24000";"231.03334"
"0.24200";"236.09167"
"0.24400";"241.24585"
"0.24600";"246.27083"
"0.24800";"251.34167"
"0.25000";"256.41666"
"0.25200";"261.68750"
"0.25400";"266.82916"
"0.25600";"271.96249"
"0.25800";"277.15833"
"0.26000";"282.51248"
"0.26200";"287.90417"
"0.26400";"293.13748"
"0.26600";"298.40417"
"0.26800";"303.97916"
"0.27000";"309.18750"
"0.27200";"314.25000"
"0.27400";"318.95834"
"0.27600";"324.20834"
"0.27800";"329.62500"
"0.28000";"335.16666"
"0.28200";"340.83334"
"0.28400";"346.37500"
"0.28600";"351.91666"
"0.28800";"357.45834"
"0.29000";"363.12500"
"0.29200";"368.79166"
"0.29400";"374.37500"
"0.29600";"379.91666"
"0.29800";"385.50000"
"0.30000";"391.08334"
"0.30200";"396.87500"
"0.30400";"402.54166"
"0.30600";"408.16666"
"0.30800";"413.79166"
"0.31000";"419.62500"
"0.31200";"425.50000"
"0.31400";"431.20834"
"0.31600";"436.83334"
"0.31800";"442.54166"
"0.32000";"448.33334"
"0.32200";"454.16666"
"0.32400";"459.83334"
"0.32600";"465.45834"
"0.32800";"471.08334"
"0.33000";"476.87500"
"0.33200";"482.75000"
"0.33400";"488.41666"
"0.33600";"494.04166"
"0.33800";"499.66666"
"0.34000";"505.37500"
"0.34200";"511.12500"
"0.34400";"516.70831"
"0.34600";"522.41669"
"0.34800";"528.04169"
"0.35000";"533.83331"
"0.35200";"539.62500"
"0.35400";"545.29169"
"0.35600";"550.91669"
"0.35800";"556.45831"
"0.36000";"562.12500"
"0.36200";"567.79169"
"0.36400";"573.37500"
"0.36600";"578.95831"
"0.36800";"584.41669"
"0.37000";"590.00000"
"0.37200";"595.66669"
"0.37400";"601.25000"
"0.37600";"606.70831"
"0.37800";"612.08331"
"0.38000";"617.70831"
"0.38200";"623.16669"
"0.38400";"628.62500"
"0.38600";"633.91669"
"0.38800";"639.41669"
"0.39000";"644.79169"
"0.39200";"650.08331"
"0.39400";"655.33331"
"0.39600";"660.62500"
"0.39800";"666.04169"
"0.40000";"671.37500"
"0.40200";"676.54169"
"0.40400";"681.58331"
"0.40600";"686.66669"
"0.40800";"691.95831"
"0.41000";"697.20831"
