"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"-0.10000";"-3.25000"
"-0.09800";"-3.20833"
"-0.09600";"-3.16667"
"-0.09400";"-3.20833"
"-0.09200";"-3.16667"
"-0.09000";"-3.16667"
"-0.08800";"-3.20833"
"-0.08600";"-3.20833"
"-0.08400";"-3.20833"
"-0.08200";"-3.12500"
"-0.08000";"-3.12500"
"-0.07800";"-3.08333"
"-0.07600";"-3.04167"
"-0.07400";"-3.00000"
"-0.07200";"-3.00000"
"-0.07000";"-3.00000"
"-0.06800";"-3.00000"
"-0.06600";"-3.00000"
"-0.06400";"-3.00000"
"-0.06200";"-3.00000"
"-0.06000";"-2.95833"
"-0.05800";"-2.91667"
"-0.05600";"-2.87500"
"-0.05400";"-2.87500"
"-0.05200";"-2.87500"
"-0.05000";"-2.91667"
"-0.04800";"-2.91667"
"-0.04600";"-2.91667"
"-0.04400";"-2.87500"
"-0.04200";"-2.83333"
"-0.04000";"-2.87500"
"-0.03800";"-2.83333"
"-0.03600";"-2.87500"
"-0.03400";"-2.79167"
"-0.03200";"-2.83333"
"-0.03000";"-2.79167"
"-0.02800";"-2.83333"
"-0.02600";"-2.79167"
"-0.02400";"-2.79167"
"-0.02200";"-2.75000"
"-0.02000";"-2.70833"
"-0.01800";"-2.66667"
"-0.01600";"-2.62500"
"-0.01400";"-2.54167"
"-0.01200";"-2.54167"
"-0.01000";"-2.50000"
"-0.00800";"-2.54167"
"-0.00600";"-2.50000"
"-0.00400";"-2.45833"
"-0.00200";"-2.41667"
"0.00000";"-2.41667"
"0.00200";"-2.33333"
"0.00400";"-2.20833"
"0.00600";"-2.04167"
"0.00800";"-2.00000"
"0.01000";"-2.00000"
"0.01200";"-1.95833"
"0.01400";"-1.87500"
"0.01600";"-1.83333"
"0.01800";"-1.75000"
"0.02000";"-1.70833"
"0.02200";"-1.62500"
"0.02400";"-1.58333"
"0.02600";"-1.58333"
"0.02800";"-1.50000"
"0.03000";"-1.37500"
"0.03200";"-1.20833"
"0.03400";"-1.04167"
"0.03600";"-1.00000"
"0.03800";"-0.83333"
"0.04000";"-0.75000"
"0.04200";"-0.54167"
"0.04400";"-0.37500"
"0.04600";"-0.16667"
"0.04800";"-0.04167"
"0.05000";"0.12500"
"0.05200";"0.25000"
"0.05400";"0.54167"
"0.05600";"0.75000"
"0.05800";"1.00000"
"0.06000";"1.12500"
"0.06200";"1.29167"
"0.06400";"1.54167"
"0.06600";"1.87500"
"0.06800";"2.25000"
"0.07000";"2.62500"
"0.07200";"2.95833"
"0.07400";"3.37500"
"0.07600";"3.79167"
"0.07800";"4.25000"
"0.08000";"4.70833"
"0.08200";"5.25000"
"0.08400";"5.87500"
"0.08600";"6.45833"
"0.08800";"7.00000"
"0.09000";"7.62500"
"0.09200";"8.33333"
"0.09400";"9.16667"
"0.09600";"9.95833"
"0.09800";"10.79167"
