"400N1_1#005"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.93963"
"0.50000";"-0.88429"
"1.00000";"-0.83475"
"1.50000";"-0.79312"
"2.00000";"-0.75742"
"2.50000";"-0.72650"
"3.00000";"-0.69912"
"3.50000";"-0.67462"
"4.00000";"-0.65246"
"4.50000";"-0.63279"
"5.00000";"-0.61483"
"5.50000";"-0.59850"
"6.00000";"-0.58313"
"6.50000";"-0.56904"
"7.00000";"-0.55600"
"7.50000";"-0.54392"
"8.00000";"-0.53271"
"8.50000";"-0.52221"
"9.00000";"-0.51263"
"9.50000";"-0.50350"
"10.00000";"-0.49467"
"10.50000";"-0.48621"
"11.00000";"-0.47858"
"11.50000";"-0.47154"
"12.00000";"-0.46467"
"12.50000";"-0.45792"
"13.00000";"-0.45142"
"13.50000";"-0.44525"
"14.00000";"-0.43954"
"14.50000";"-0.43425"
"15.00000";"-0.42904"
"15.50000";"-0.42408"
"16.00000";"-0.41892"
"16.50000";"-0.41425"
"17.00000";"-0.40975"
"17.50000";"-0.40575"
"18.00000";"-0.40158"
"18.50000";"-0.39750"
"19.00000";"-0.39350"
"19.50000";"-0.38988"
"20.00000";"-0.38621"
"20.50000";"-0.38267"
"21.00000";"-0.37913"
"21.50000";"-0.37579"
"22.00000";"-0.37254"
"22.50000";"-0.36942"
"23.00000";"-0.36629"
"23.50000";"-0.36346"
"24.00000";"-0.36071"
"24.50000";"-0.35808"
"25.00000";"-0.35521"
"25.50000";"-0.35242"
"26.00000";"-0.34962"
"26.50000";"-0.34729"
"27.00000";"-0.34492"
"27.50000";"-0.34271"
"28.00000";"-0.34042"
"28.50000";"-0.33808"
"29.00000";"-0.33592"
"29.50000";"-0.33333"
"30.00000";"-0.33154"
"30.50000";"-0.32958"
"31.00000";"-0.32808"
"31.50000";"-0.32613"
"32.00000";"-0.32421"
"32.50000";"-0.32246"
"33.00000";"-0.32058"
"33.50000";"-0.31900"
"34.00000";"-0.31721"
"34.50000";"-0.31567"
"35.00000";"-0.31417"
"35.50000";"-0.31279"
"36.00000";"-0.31146"
"36.50000";"-0.30996"
"37.00000";"-0.30887"
"37.50000";"-0.30767"
"38.00000";"-0.30646"
"38.50000";"-0.30508"
"39.00000";"-0.30379"
"39.50000";"-0.30263"
"40.00000";"-0.30133"
"40.50000";"-0.30017"
"41.00000";"-0.29900"
"41.50000";"-0.29796"
"42.00000";"-0.29683"
"42.50000";"-0.29587"
"43.00000";"-0.29492"
"43.50000";"-0.29388"
"44.00000";"-0.29287"
"44.50000";"-0.29188"
"45.00000";"-0.29096"
"45.50000";"-0.29008"
"46.00000";"-0.28925"
"46.50000";"-0.28842"
"47.00000";"-0.28758"
"47.50000";"-0.28704"
"48.00000";"-0.28646"
"48.50000";"-0.28592"
"49.00000";"-0.28517"
"49.50000";"-0.28463"
"50.00000";"-0.28413"
"50.50000";"-0.28354"
"51.00000";"-0.28308"
"51.50000";"-0.28267"
"52.00000";"-0.28233"
"52.50000";"-0.28204"
"53.00000";"-0.28179"
"53.50000";"-0.28175"
"54.00000";"-0.28150"
"54.50000";"-0.28125"
"55.00000";"-0.28108"
"55.50000";"-0.28121"
"56.00000";"-0.28121"
"56.50000";"-0.28121"
"57.00000";"-0.28113"
"57.50000";"-0.28117"
"58.00000";"-0.28133"
"58.50000";"-0.28167"
"59.00000";"-0.28225"
"59.50000";"-0.28275"
"60.00000";"-0.28325"
