"400N1_1#014"
""
"Time (s)";"Current (uA)"
"0.00000";"-0.60137"
"0.50000";"-0.47875"
"1.00000";"-0.39792"
"1.50000";"-0.36000"
"2.00000";"-0.34317"
"2.50000";"-0.32879"
"3.00000";"-0.31654"
"3.50000";"-0.30567"
"4.00000";"-0.29571"
"4.50000";"-0.28646"
"5.00000";"-0.27808"
"5.50000";"-0.27062"
"6.00000";"-0.26354"
"6.50000";"-0.25717"
"7.00000";"-0.25133"
"7.50000";"-0.24592"
"8.00000";"-0.24075"
"8.50000";"-0.23583"
"9.00000";"-0.23112"
"9.50000";"-0.22683"
"10.00000";"-0.22292"
"10.50000";"-0.21933"
"11.00000";"-0.21592"
"11.50000";"-0.21250"
"12.00000";"-0.20917"
"12.50000";"-0.20600"
"13.00000";"-0.20296"
"13.50000";"-0.20029"
"14.00000";"-0.19758"
"14.50000";"-0.19500"
"15.00000";"-0.19242"
"15.50000";"-0.19000"
"16.00000";"-0.18767"
"16.50000";"-0.18546"
"17.00000";"-0.18338"
"17.50000";"-0.18142"
"18.00000";"-0.17933"
"18.50000";"-0.17733"
"19.00000";"-0.17529"
"19.50000";"-0.17327"
"20.00000";"-0.17138"
"20.50000";"-0.16956"
"21.00000";"-0.16810"
"21.50000";"-0.16655"
"22.00000";"-0.16506"
"22.50000";"-0.16355"
"23.00000";"-0.16207"
"23.50000";"-0.16073"
"24.00000";"-0.15933"
"24.50000";"-0.15803"
"25.00000";"-0.15670"
"25.50000";"-0.15556"
"26.00000";"-0.15436"
"26.50000";"-0.15323"
"27.00000";"-0.15197"
"27.50000";"-0.15087"
"28.00000";"-0.14993"
"28.50000";"-0.14895"
"29.00000";"-0.14795"
"29.50000";"-0.14673"
"30.00000";"-0.14573"
"30.50000";"-0.14478"
"31.00000";"-0.14401"
"31.50000";"-0.14310"
"32.00000";"-0.14230"
"32.50000";"-0.14139"
"33.00000";"-0.14051"
"33.50000";"-0.13964"
"34.00000";"-0.13883"
"34.50000";"-0.13810"
"35.00000";"-0.13734"
"35.50000";"-0.13647"
"36.00000";"-0.13589"
"36.50000";"-0.13518"
"37.00000";"-0.13464"
"37.50000";"-0.13368"
"38.00000";"-0.13289"
"38.50000";"-0.13219"
"39.00000";"-0.13161"
"39.50000";"-0.13090"
"40.00000";"-0.13026"
"40.50000";"-0.12965"
"41.00000";"-0.12905"
"41.50000";"-0.12839"
"42.00000";"-0.12780"
"42.50000";"-0.12725"
"43.00000";"-0.12671"
"43.50000";"-0.12618"
"44.00000";"-0.12570"
"44.50000";"-0.12520"
"45.00000";"-0.12476"
"45.50000";"-0.12427"
"46.00000";"-0.12383"
"46.50000";"-0.12339"
"47.00000";"-0.12296"
"47.50000";"-0.12243"
"48.00000";"-0.12190"
"48.50000";"-0.12155"
"49.00000";"-0.12122"
"49.50000";"-0.12099"
"50.00000";"-0.12065"
"50.50000";"-0.12027"
"51.00000";"-0.11984"
"51.50000";"-0.11947"
"52.00000";"-0.11926"
"52.50000";"-0.11900"
"53.00000";"-0.11860"
"53.50000";"-0.11832"
"54.00000";"-0.11803"
"54.50000";"-0.11776"
"55.00000";"-0.11738"
"55.50000";"-0.11707"
"56.00000";"-0.11694"
"56.50000";"-0.11677"
"57.00000";"-0.11657"
"57.50000";"-0.11625"
"58.00000";"-0.11602"
"58.50000";"-0.11584"
"59.00000";"-0.11588"
"59.50000";"-0.11583"
"60.00000";"-0.11579"
