"400N1_1#011"
""
"Time (s)";"Current (uA)"
"0.00000";"-1.28937"
"0.50000";"-1.21250"
"1.00000";"-1.14375"
"1.50000";"-1.08600"
"2.00000";"-1.03663"
"2.50000";"-0.99379"
"3.00000";"-0.95608"
"3.50000";"-0.92267"
"4.00000";"-0.89275"
"4.50000";"-0.86567"
"5.00000";"-0.84104"
"5.50000";"-0.81863"
"6.00000";"-0.79808"
"6.50000";"-0.77917"
"7.00000";"-0.76162"
"7.50000";"-0.74529"
"8.00000";"-0.72996"
"8.50000";"-0.71558"
"9.00000";"-0.70196"
"9.50000";"-0.68925"
"10.00000";"-0.67721"
"10.50000";"-0.66604"
"11.00000";"-0.65529"
"11.50000";"-0.64521"
"12.00000";"-0.63550"
"12.50000";"-0.62633"
"13.00000";"-0.61762"
"13.50000";"-0.60938"
"14.00000";"-0.60150"
"14.50000";"-0.59392"
"15.00000";"-0.58688"
"15.50000";"-0.58013"
"16.00000";"-0.57363"
"16.50000";"-0.56733"
"17.00000";"-0.56133"
"17.50000";"-0.55558"
"18.00000";"-0.55004"
"18.50000";"-0.54475"
"19.00000";"-0.53971"
"19.50000";"-0.53492"
"20.00000";"-0.53033"
"20.50000";"-0.52592"
"21.00000";"-0.52162"
"21.50000";"-0.51754"
"22.00000";"-0.51375"
"22.50000";"-0.51000"
"23.00000";"-0.50638"
"23.50000";"-0.50292"
"24.00000";"-0.49958"
"24.50000";"-0.49646"
"25.00000";"-0.49337"
"25.50000";"-0.49046"
"26.00000";"-0.48758"
"26.50000";"-0.48479"
"27.00000";"-0.48217"
"27.50000";"-0.47975"
"28.00000";"-0.47738"
"28.50000";"-0.47508"
"29.00000";"-0.47283"
"29.50000";"-0.47075"
"30.00000";"-0.46875"
"30.50000";"-0.46679"
"31.00000";"-0.46500"
"31.50000";"-0.46321"
"32.00000";"-0.46162"
"32.50000";"-0.45996"
"33.00000";"-0.45854"
"33.50000";"-0.45708"
"34.00000";"-0.45575"
"34.50000";"-0.45446"
"35.00000";"-0.45325"
"35.50000";"-0.45221"
"36.00000";"-0.45117"
"36.50000";"-0.45017"
"37.00000";"-0.44908"
"37.50000";"-0.44817"
"38.00000";"-0.44733"
"38.50000";"-0.44667"
"39.00000";"-0.44579"
"39.50000";"-0.44504"
"40.00000";"-0.44421"
"40.50000";"-0.44363"
"41.00000";"-0.44292"
"41.50000";"-0.44242"
"42.00000";"-0.44175"
"42.50000";"-0.44129"
"43.00000";"-0.44075"
"43.50000";"-0.44025"
"44.00000";"-0.43954"
"44.50000";"-0.43896"
"45.00000";"-0.43854"
"45.50000";"-0.43821"
"46.00000";"-0.43775"
"46.50000";"-0.43725"
"47.00000";"-0.43692"
"47.50000";"-0.43663"
"48.00000";"-0.43642"
"48.50000";"-0.43604"
"49.00000";"-0.43567"
"49.50000";"-0.43533"
"50.00000";"-0.43508"
"50.50000";"-0.43500"
"51.00000";"-0.43475"
"51.50000";"-0.43458"
"52.00000";"-0.43425"
"52.50000";"-0.43408"
"53.00000";"-0.43379"
"53.50000";"-0.43371"
"54.00000";"-0.43362"
"54.50000";"-0.43362"
"55.00000";"-0.43338"
"55.50000";"-0.43313"
"56.00000";"-0.43300"
"56.50000";"-0.43292"
"57.00000";"-0.43292"
"57.50000";"-0.43288"
"58.00000";"-0.43283"
"58.50000";"-0.43271"
"59.00000";"-0.43254"
"59.50000";"-0.43250"
"60.00000";"-0.43250"
