"400N1_1#003"
""
"Time (s)";"Current (uA)"
"0.00000";"-25.65000"
"0.50000";"-23.97500"
"1.00000";"-22.49583"
"1.50000";"-21.27083"
"2.00000";"-20.24167"
"2.50000";"-19.35417"
"3.00000";"-18.58750"
"3.50000";"-17.90833"
"4.00000";"-17.30833"
"4.50000";"-16.76250"
"5.00000";"-16.23458"
"5.50000";"-15.75792"
"6.00000";"-15.32458"
"6.50000";"-14.96000"
"7.00000";"-14.61792"
"7.50000";"-14.30167"
"8.00000";"-14.00625"
"8.50000";"-13.73042"
"9.00000";"-13.47125"
"9.50000";"-13.22833"
"10.00000";"-13.00083"
"10.50000";"-12.78708"
"11.00000";"-12.58583"
"11.50000";"-12.39458"
"12.00000";"-12.21500"
"12.50000";"-12.04417"
"13.00000";"-11.88417"
"13.50000";"-11.73042"
"14.00000";"-11.58625"
"14.50000";"-11.44917"
"15.00000";"-11.32083"
"15.50000";"-11.20000"
"16.00000";"-11.08333"
"16.50000";"-10.97083"
"17.00000";"-10.86042"
"17.50000";"-10.75417"
"18.00000";"-10.65000"
"18.50000";"-10.54792"
"19.00000";"-10.44792"
"19.50000";"-10.35000"
"20.00000";"-10.25750"
"20.50000";"-10.16750"
"21.00000";"-10.08125"
"21.50000";"-9.99542"
"22.00000";"-9.91250"
"22.50000";"-9.83208"
"23.00000";"-9.75417"
"23.50000";"-9.67958"
"24.00000";"-9.60750"
"24.50000";"-9.53833"
"25.00000";"-9.47167"
"25.50000";"-9.40667"
"26.00000";"-9.34417"
"26.50000";"-9.28292"
"27.00000";"-9.22458"
"27.50000";"-9.16875"
"28.00000";"-9.11542"
"28.50000";"-9.06458"
"29.00000";"-9.01542"
"29.50000";"-8.96875"
"30.00000";"-8.92333"
"30.50000";"-8.87958"
"31.00000";"-8.83583"
"31.50000";"-8.79292"
"32.00000";"-8.75125"
"32.50000";"-8.71083"
"33.00000";"-8.67208"
"33.50000";"-8.63417"
"34.00000";"-8.59792"
"34.50000";"-8.56292"
"35.00000";"-8.52958"
"35.50000";"-8.49750"
"36.00000";"-8.46583"
"36.50000";"-8.43458"
"37.00000";"-8.40417"
"37.50000";"-8.37500"
"38.00000";"-8.34708"
"38.50000";"-8.31958"
"39.00000";"-8.29333"
"39.50000";"-8.26708"
"40.00000";"-8.24208"
"40.50000";"-8.21708"
"41.00000";"-8.19292"
"41.50000";"-8.16958"
"42.00000";"-8.14750"
"42.50000";"-8.12625"
"43.00000";"-8.10542"
"43.50000";"-8.08542"
"44.00000";"-8.06708"
"44.50000";"-8.04875"
"45.00000";"-8.03042"
"45.50000";"-8.01125"
"46.00000";"-7.99375"
"46.50000";"-7.97708"
"47.00000";"-7.96083"
"47.50000";"-7.94500"
"48.00000";"-7.93042"
"48.50000";"-7.91708"
"49.00000";"-7.90375"
"49.50000";"-7.89000"
"50.00000";"-7.87708"
"50.50000";"-7.86458"
"51.00000";"-7.85292"
"51.50000";"-7.84125"
"52.00000";"-7.82958"
"52.50000";"-7.81750"
"53.00000";"-7.80625"
"53.50000";"-7.79500"
"54.00000";"-7.78417"
"54.50000";"-7.77250"
"55.00000";"-7.76167"
"55.50000";"-7.75125"
"56.00000";"-7.74125"
"56.50000";"-7.73125"
"57.00000";"-7.72125"
"57.50000";"-7.71125"
"58.00000";"-7.70167"
"58.50000";"-7.69250"
"59.00000";"-7.68417"
"59.50000";"-7.67625"
"60.00000";"-7.66875"
