"400N1_1#043"
""
"Time (s)";"Current (uA)"
"0";"-0.425375"
"0.5";"-0.402875"
"1";"-0.382417"
"1.5";"-0.364875"
"2";"-0.349458"
"2.5";"-0.335833"
"3";"-0.323917"
"3.5";"-0.313292"
"4";"-0.303917"
"4.5";"-0.295375"
"5";"-0.287375"
"5.5";"-0.280125"
"6";"-0.273292"
"6.5";"-0.266667"
"7";"-0.260708"
"7.5";"-0.255208"
"8";"-0.250292"
"8.5";"-0.245542"
"9";"-0.241333"
"9.5";"-0.237167"
"10";"-0.233"
"10.5";"-0.228917"
"11";"-0.22525"
"11.5";"-0.221583"
"12";"-0.21825"
"12.5";"-0.214917"
"13";"-0.212125"
"13.5";"-0.209208"
"14";"-0.206667"
"14.5";"-0.203583"
"15";"-0.201083"
"15.5";"-0.198417"
"16";"-0.196375"
"16.5";"-0.194042"
"17";"-0.191875"
"17.5";"-0.1895"
"18";"-0.187458"
"18.5";"-0.185375"
"19";"-0.183917"
"19.5";"-0.181958"
"20";"-0.180208"
"20.5";"-0.178542"
"21";"-0.177042"
"21.5";"-0.175375"
"22";"-0.173458"
"22.5";"-0.171533"
"23";"-0.169975"
"23.5";"-0.168775"
"24";"-0.167658"
"24.5";"-0.16665"
"25";"-0.165138"
"25.5";"-0.163388"
"26";"-0.161854"
"26.5";"-0.160829"
"27";"-0.160254"
"27.5";"-0.1592"
"28";"-0.157796"
"28.5";"-0.156708"
"29";"-0.155813"
"29.5";"-0.15505"
"30";"-0.154121"
"30.5";"-0.153079"
"31";"-0.151996"
"31.5";"-0.151"
"32";"-0.150096"
"32.5";"-0.149242"
"33";"-0.148288"
"33.5";"-0.147067"
"34";"-0.146"
"34.5";"-0.144854"
"35";"-0.144125"
"35.5";"-0.143312"
"36";"-0.142771"
"36.5";"-0.142029"
"37";"-0.141388"
"37.5";"-0.140437"
"38";"-0.139513"
"38.5";"-0.138838"
"39";"-0.138292"
"39.5";"-0.137987"
"40";"-0.137333"
"40.5";"-0.136354"
"41";"-0.135788"
"41.5";"-0.134988"
"42";"-0.134538"
"42.5";"-0.133438"
"43";"-0.132542"
"43.5";"-0.131867"
"44";"-0.131104"
"44.5";"-0.130958"
"45";"-0.130279"
"45.5";"-0.129767"
"46";"-0.128988"
"46.5";"-0.128387"
"47";"-0.127954"
"47.5";"-0.127254"
"48";"-0.126717"
"48.5";"-0.126292"
"49";"-0.125758"
"49.5";"-0.125492"
"50";"-0.125087"
"50.5";"-0.124596"
"51";"-0.123933"
"51.5";"-0.123421"
"52";"-0.123363"
"52.5";"-0.123013"
"53";"-0.122733"
"53.5";"-0.122508"
"54";"-0.122325"
"54.5";"-0.121854"
"55";"-0.121608"
"55.5";"-0.121496"
"56";"-0.121571"
"56.5";"-0.121521"
"57";"-0.121429"
"57.5";"-0.12165"
"58";"-0.121579"
"58.5";"-0.121938"
"59";"-0.122"
"59.5";"-0.122175"
