"400N1_1#021"
""
"Time (s)";"Current (uA)"
"0";"-0.096788"
"0.5";"-0.087496"
"1";"-0.080304"
"1.5";"-0.075438"
"2";"-0.071088"
"2.5";"-0.066992"
"3";"-0.062246"
"3.5";"-0.058225"
"4";"-0.054838"
"4.5";"-0.054358"
"5";"-0.054754"
"5.5";"-0.056067"
"6";"-0.055996"
"6.5";"-0.055658"
"7";"-0.05445"
"7.5";"-0.052012"
"8";"-0.049425"
"8.5";"-0.047763"
"9";"-0.045329"
"9.5";"-0.043104"
"10";"-0.040158"
"10.5";"-0.039392"
"11";"-0.038025"
"11.5";"-0.036854"
"12";"-0.036288"
"12.5";"-0.035792"
"13";"-0.035071"
"13.5";"-0.033846"
"14";"-0.032979"
"14.5";"-0.032358"
"15";"-0.031633"
"15.5";"-0.031279"
"16";"-0.030929"
"16.5";"-0.03095"
"17";"-0.0308"
"17.5";"-0.030346"
"18";"-0.030054"
"18.5";"-0.02955"
"19";"-0.02895"
"19.5";"-0.028633"
"20";"-0.028238"
"20.5";"-0.027862"
"21";"-0.026917"
"21.5";"-0.026475"
"22";"-0.026504"
"22.5";"-0.027517"
"23";"-0.027496"
"23.5";"-0.027337"
"24";"-0.026387"
"24.5";"-0.026567"
"25";"-0.027008"
"25.5";"-0.027308"
"26";"-0.026442"
"26.5";"-0.025567"
"27";"-0.024321"
"27.5";"-0.024279"
"28";"-0.024121"
"28.5";"-0.024479"
"29";"-0.024721"
"29.5";"-0.024675"
"30";"-0.024187"
"30.5";"-0.024038"
"31";"-0.023679"
"31.5";"-0.024367"
"32";"-0.024721"
"32.5";"-0.026158"
"33";"-0.028171"
"33.5";"-0.02965"
"34";"-0.031108"
"34.5";"-0.031392"
"35";"-0.032046"
"35.5";"-0.032658"
"36";"-0.033225"
"36.5";"-0.032808"
"37";"-0.032363"
"37.5";"-0.031325"
"38";"-0.031379"
"38.5";"-0.031092"
"39";"-0.031433"
"39.5";"-0.031179"
"40";"-0.030417"
"40.5";"-0.028417"
"41";"-0.026583"
"41.5";"-0.024642"
"42";"-0.023921"
"42.5";"-0.023792"
"43";"-0.024008"
"43.5";"-0.024154"
"44";"-0.023696"
"44.5";"-0.022533"
"45";"-0.021067"
"45.5";"-0.020437"
"46";"-0.020704"
"46.5";"-0.020796"
"47";"-0.020746"
"47.5";"-0.020012"
"48";"-0.019979"
"48.5";"-0.019538"
"49";"-0.019258"
"49.5";"-0.018654"
"50";"-0.017908"
"50.5";"-0.017954"
"51";"-0.017717"
"51.5";"-0.017842"
"52";"-0.017733"
"52.5";"-0.017904"
"53";"-0.018225"
"53.5";"-0.018208"
"54";"-0.018675"
"54.5";"-0.018242"
"55";"-0.018517"
"55.5";"-0.017725"
"56";"-0.018092"
"56.5";"-0.017958"
"57";"-0.018404"
"57.5";"-0.018546"
"58";"-0.018638"
"58.5";"-0.018167"
"59";"-0.017967"
"59.5";"-0.017538"
"60";"-0.017313"
